date,signal_date,rank,symbol,score
2026-01-23,2026-01-22,1,HINDCOPPER,5.066772719941886
2026-01-23,2026-01-22,2,ATHERENERG,4.726760253412546
2026-01-23,2026-01-22,3,NATIONALUM,4.701630795413175
2026-01-23,2026-01-22,4,NETWEB,3.6406746952696243
2026-01-23,2026-01-22,5,VEDL,3.112264183591175
2026-01-23,2026-01-22,6,SHRIRAMFIN,3.028161495405805
2026-01-23,2026-01-22,7,ASHOKLEY,2.983801673652266
2026-01-23,2026-01-22,8,HINDZINC,2.8752450664432
2026-01-23,2026-01-22,9,BANKINDIA,2.6185740199136345
2026-01-23,2026-01-22,10,JKTYRE,2.613308185378207
2026-01-23,2026-01-22,11,MUTHOOTFIN,2.558820720408345
2026-01-23,2026-01-22,12,INDIANB,2.426793439115104
2026-01-23,2026-01-22,13,MCX,2.3753487105706226
2026-01-23,2026-01-22,14,HINDALCO,2.2806873863413344
2026-01-23,2026-01-22,15,CANBK,2.267237132025407
2026-01-23,2026-01-22,16,M&MFIN,2.2205181117997803
2026-01-23,2026-01-22,17,LTF,2.1857427651244326
2026-01-23,2026-01-22,18,INDIACEM,2.0498448596275374
2026-01-23,2026-01-22,19,CUB,2.0358665072940925
2026-01-23,2026-01-22,20,IDEA,2.03583823541724
2026-01-23,2026-01-22,21,AUBANK,2.0095654785983443
2026-01-23,2026-01-22,22,FEDERALBNK,1.9962488826023985
2026-01-23,2026-01-22,23,ABCAPITAL,1.9047947763368644
2026-01-23,2026-01-22,24,GPIL,1.8639405418579218
