seed,cagr_pct,sharpe,max_dd_pct
0,39.45,1.61,-25.06
1,43.54,1.82,-22.9
2,39.32,1.58,-24.17
3,38.02,1.53,-26.39
4,37.58,1.48,-28.28
5,45.14,1.84,-25.23
6,34.37,1.33,-29.22
7,37.61,1.52,-24.43
8,41.53,1.75,-23.9
9,44.12,1.82,-22.81
10,38.2,1.53,-26.85
11,42.04,1.75,-24.08
12,41.04,1.66,-24.6
13,40.88,1.66,-22.89
14,35.82,1.42,-26.86
15,36.99,1.48,-23.52
16,39.78,1.63,-26.25
17,41.89,1.71,-23.0
18,40.5,1.66,-22.41
19,45.34,1.79,-23.68
20,43.69,1.79,-24.0
21,39.71,1.6,-23.93
22,45.23,1.82,-22.91
23,41.97,1.75,-24.14
24,37.89,1.54,-23.41
25,40.15,1.6,-24.35
26,40.16,1.63,-24.54
27,45.42,1.81,-24.05
28,40.13,1.64,-24.16
29,44.21,1.84,-23.57
30,40.35,1.64,-23.86
31,45.11,1.84,-23.4
32,43.66,1.71,-25.02
33,45.51,1.82,-25.32
34,44.18,1.78,-24.9
35,37.25,1.48,-23.52
36,44.27,1.81,-21.71
37,37.25,1.47,-21.24
38,44.35,1.82,-23.06
39,39.12,1.6,-23.9
