date,decile,fwd_pct,median_price,n
2021-01-01,1,14.668469921686015,23.9,23
2021-01-01,2,22.482765293670738,69.275,22
2021-01-01,3,14.517340419203869,128.825,22
2021-01-01,4,18.07390626812836,238.7,22
2021-01-01,5,37.62956951607574,419.875,22
2021-01-01,6,8.921566314289752,568.15,22
2021-01-01,7,10.933542098222219,891.2249999999999,22
2021-01-01,8,13.905662385363774,1094.55,22
2021-01-01,9,8.267305032931306,1664.65,22
2021-01-01,10,7.418594931629967,3699.3,23
2021-01-15,1,4.687617827265647,26.0,23
2021-01-15,2,7.552852468551999,74.19999999999999,22
2021-01-15,3,5.0603131517107425,134.45,22
2021-01-15,4,6.372547151468398,265.525,22
2021-01-15,5,27.69250323006011,426.55,22
2021-01-15,6,11.908670298852929,592.675,22
2021-01-15,7,8.553590631735407,897.6500000000001,22
2021-01-15,8,8.396488169488782,1165.6999999999998,22
2021-01-15,9,2.5204860965764175,1683.475,22
2021-01-15,10,3.152401714761688,3644.8,23
2021-01-29,1,17.75721375714451,24.0,23
2021-01-29,2,32.26060723257896,68.875,22
2021-01-29,3,13.63956387659149,124.275,22
2021-01-29,4,17.090416239612143,248.39999999999998,22
2021-01-29,5,36.56243206887436,397.85,23
2021-01-29,6,19.42601519191638,556.825,22
2021-01-29,7,15.176900461068414,862.1,22
2021-01-29,8,17.19657436264731,1130.4,22
2021-01-29,9,9.836530637941175,1603.5749999999998,22
2021-01-29,10,7.972490640045729,3907.0,23
2021-02-12,1,17.875055025384782,26.1,23
2021-02-12,2,28.08092645462803,74.17500000000001,22
2021-02-12,3,13.136598661424317,130.45,22
2021-02-12,4,5.360983282473759,286.975,22
2021-02-12,5,25.793903419633224,449.35,23
2021-02-12,6,12.963825201844111,621.875,22
2021-02-12,7,6.024542768019421,947.425,22
2021-02-12,8,9.799488567788485,1238.725,22
2021-02-12,9,6.043508754315126,1710.45,22
2021-02-12,10,1.432315877869827,4034.0,23
2021-02-26,1,11.379330965648272,25.5,23
2021-02-26,2,23.383201515174342,76.795,22
2021-02-26,3,13.168631766089394,143.14999999999998,22
2021-02-26,4,8.361698073937934,278.375,22
2021-02-26,5,30.181860790656817,461.55,23
2021-02-26,6,17.155107923916002,596.25,22
2021-02-26,7,14.612461840563148,880.0999999999999,22
2021-02-26,8,14.406207363633111,1276.5,22
2021-02-26,9,10.514597632573443,1676.575,22
2021-02-26,10,8.004232802847577,3705.0,23
2021-03-12,1,11.862251954186402,26.3,23
2021-03-12,2,22.40987084335029,78.89,22
2021-03-12,3,10.033847267944305,148.6,22
2021-03-12,4,11.594219907377093,277.975,22
2021-03-12,5,18.15906447060306,472.5,23
2021-03-12,6,19.416555000860438,615.6,22
2021-03-12,7,11.576902648620328,935.95,22
2021-03-12,8,10.276210915928823,1361.0749999999998,22
2021-03-12,9,12.85405229045112,1779.8000000000002,22
2021-03-12,10,3.4028027078666354,4016.05,23
2021-03-26,1,24.997042379900847,24.2,23
2021-03-26,2,27.16453809404723,75.975,22
2021-03-26,3,12.781897451228383,125.875,22
2021-03-26,4,15.23245477994331,278.05,23
2021-03-26,5,18.822437976325006,454.35,22
2021-03-26,6,17.743469099637526,588.25,22
2021-03-26,7,14.78642198454449,910.8,23
2021-03-26,8,14.921428255145546,1282.375,22
2021-03-26,9,15.361210573410048,1791.3000000000002,22
2021-03-26,10,9.69341331463633,3624.6,23
2021-04-09,1,17.474105213620632,24.79,23
2021-04-09,2,21.242686605037786,79.875,22
2021-04-09,3,11.76831403669205,128.425,22
2021-04-09,4,13.148492594086122,279.55,23
2021-04-09,5,13.177563572114915,486.55,22
2021-04-09,6,15.541657211100594,635.125,22
2021-04-09,7,7.152314412769114,962.9,23
2021-04-09,8,14.592613083061137,1299.675,22
2021-04-09,9,13.313173577089248,1834.525,22
2021-04-09,10,6.651017539867081,3797.7,23
2021-04-23,1,22.79303797732346,22.9,23
2021-04-23,2,27.08541352902818,77.555,22
2021-04-23,3,23.03860718142235,131.35,23
2021-04-23,4,23.81036586227207,266.82500000000005,22
2021-04-23,5,16.24236703104983,478.4,23
2021-04-23,6,22.095724414629352,636.675,22
2021-04-23,7,12.819939660119164,938.2,22
2021-04-23,8,15.654983111996135,1265.95,23
2021-04-23,9,21.480603132550332,1839.325,22
2021-04-23,10,11.895183462581162,3895.55,23
2021-05-07,1,10.825294609924919,24.35,23
2021-05-07,2,17.716330062656645,88.14,22
2021-05-07,3,14.265990479853158,142.9,23
2021-05-07,4,19.836028158368908,267.1,22
2021-05-07,5,16.524874497695997,493.85,23
2021-05-07,6,11.36312469483696,656.775,22
2021-05-07,7,17.604524339271936,975.7750000000001,22
2021-05-07,8,14.738411867774879,1308.0,23
2021-05-07,9,15.91128446336088,1830.85,22
2021-05-07,10,10.966249823593026,3954.75,23
2021-05-21,1,-4.557008378407376,25.6,23
2021-05-21,2,4.30007581854523,88.15,22
2021-05-21,3,-0.6951676844401634,143.0,23
2021-05-21,4,15.620380103768897,285.15,22
2021-05-21,5,9.795116568709783,512.7,23
2021-05-21,6,11.15084386726839,668.35,22
2021-05-21,7,10.601537381084517,1006.1,22
2021-05-21,8,8.962863656704407,1338.7,23
2021-05-21,9,12.713660018250723,1934.0,22
