label,universe,cadence,regime,bull_uc,bull_cr,bear_uc,bear_cr,passes,IS_cagr,IS_sharpe,IS_dd,OOS_A_cagr,OOS_A_sharpe,OOS_A_dd,OOS_B_cagr,OOS_B_sharpe,OOS_B_dd,OOS_C_cagr,OOS_C_sharpe,OOS_C_dd,OOS_full_cagr,OOS_full_sharpe,OOS_full_dd
NSE_500__biweekly__NIFTY_50__bull0.7_0.3__bear0.0_1.0,NSE_500,biweekly,NIFTY_50,0.7,0.3,0.0,1.0,False,24.81,1.18,-29.68,35.89,1.55,-35.19,67.19,2.05,-41.2,40.97,1.55,-30.7,47.24,1.73,-51.76
NSE_500__biweekly__NIFTY_50__bull0.6_0.4__bear0.4_0.6,NSE_500,biweekly,NIFTY_50,0.6,0.4,0.4,0.6,False,25.45,1.18,-31.5,36.14,1.52,-31.87,63.93,1.96,-40.35,49.19,1.66,-32.87,49.41,1.72,-47.55
NSE_500__biweekly__NIFTY_50__bull0.8_0.2__bear0.2_0.8,NSE_500,biweekly,NIFTY_50,0.8,0.2,0.2,0.8,False,22.3,1.02,-35.03,27.53,1.22,-38.41,55.39,1.75,-41.85,38.98,1.38,-36.73,40.17,1.46,-54.83
NSE_500__biweekly__NIFTY_50__bull0.5_0.5__bear0.0_1.0,NSE_500,biweekly,NIFTY_50,0.5,0.5,0.0,1.0,False,28.13,1.41,-25.7,32.24,1.46,-35.2,66.1,2.05,-38.7,39.85,1.55,-26.04,45.23,1.7,-51.35
NSE_500__biweekly__NIFTY_50__bull0.5_0.5__bear0.3_0.7,NSE_500,biweekly,NIFTY_50,0.5,0.5,0.3,0.7,False,27.33,1.31,-30.03,36.36,1.59,-31.38,66.06,1.95,-39.12,44.2,1.56,-31.2,48.26,1.7,-46.96
NSE_500__biweekly__NIFTY_100__bull0.7_0.3__bear0.3_0.7,NSE_500,biweekly,NIFTY_100,0.7,0.3,0.3,0.7,False,25.66,1.17,-28.52,31.81,1.36,-39.84,63.65,1.91,-39.69,43.99,1.51,-34.77,45.92,1.61,-53.7
NSE_500__biweekly__NIFTY_100__bull0.7_0.3__bear0.0_1.0,NSE_500,biweekly,NIFTY_100,0.7,0.3,0.0,1.0,False,25.16,1.2,-29.97,32.98,1.46,-38.64,69.29,2.08,-40.78,41.85,1.57,-30.36,47.14,1.72,-53.88
NSE_500__biweekly__NIFTY_100__bull0.6_0.4__bear0.4_0.6,NSE_500,biweekly,NIFTY_100,0.6,0.4,0.4,0.6,False,25.38,1.19,-31.85,34.96,1.5,-31.49,65.29,1.98,-40.44,50.69,1.7,-32.5,49.92,1.74,-47.09
NSE_500__biweekly__NIFTY_100__bull0.8_0.2__bear0.2_0.8,NSE_500,biweekly,NIFTY_100,0.8,0.2,0.2,0.8,False,21.42,1.0,-34.75,25.26,1.13,-41.69,55.95,1.75,-41.67,38.02,1.36,-36.52,39.19,1.43,-56.97
NSE_500__biweekly__NIFTY_100__bull0.5_0.5__bear0.0_1.0,NSE_500,biweekly,NIFTY_100,0.5,0.5,0.0,1.0,False,28.12,1.41,-26.61,30.92,1.41,-37.07,65.9,2.04,-38.56,42.94,1.64,-25.83,45.87,1.71,-52.68
NSE_500__biweekly__NIFTY_100__bull0.5_0.5__bear0.3_0.7,NSE_500,biweekly,NIFTY_100,0.5,0.5,0.3,0.7,False,26.69,1.3,-31.04,36.51,1.61,-31.45,63.79,1.96,-37.55,43.55,1.53,-31.85,47.37,1.7,-46.64
NSE_500__biweekly__NIFTY_200__bull0.7_0.3__bear0.3_0.7,NSE_500,biweekly,NIFTY_200,0.7,0.3,0.3,0.7,False,23.87,1.09,-33.06,33.6,1.42,-36.93,66.56,1.98,-40.4,44.75,1.54,-35.04,47.65,1.66,-52.43
NSE_500__biweekly__NIFTY_200__bull0.7_0.3__bear0.0_1.0,NSE_500,biweekly,NIFTY_200,0.7,0.3,0.0,1.0,False,22.04,1.05,-33.06,32.72,1.46,-36.97,67.72,2.05,-41.35,41.8,1.57,-30.36,46.59,1.71,-54.48
NSE_500__biweekly__NIFTY_200__bull0.6_0.4__bear0.4_0.6,NSE_500,biweekly,NIFTY_200,0.6,0.4,0.4,0.6,False,25.07,1.16,-31.09,34.87,1.48,-33.54,66.9,1.99,-40.33,50.33,1.7,-32.61,50.25,1.74,-48.5
NSE_500__biweekly__NIFTY_200__bull0.8_0.2__bear0.2_0.8,NSE_500,biweekly,NIFTY_200,0.8,0.2,0.2,0.8,False,17.6,0.83,-36.75,27.82,1.23,-38.32,61.55,1.87,-40.64,38.12,1.36,-36.53,41.7,1.5,-53.44
NSE_500__biweekly__NIFTY_200__bull0.5_0.5__bear0.0_1.0,NSE_500,biweekly,NIFTY_200,0.5,0.5,0.0,1.0,False,26.42,1.31,-26.55,32.23,1.48,-34.5,63.91,2.01,-39.78,42.32,1.62,-25.83,45.54,1.72,-52.03
NSE_500__biweekly__NIFTY_200__bull0.5_0.5__bear0.3_0.7,NSE_500,biweekly,NIFTY_200,0.5,0.5,0.3,0.7,False,26.21,1.27,-30.99,35.53,1.57,-33.41,62.97,1.91,-38.26,43.74,1.54,-31.64,46.86,1.67,-47.08
Nifty_250__monthly__NIFTY_50__bull0.7_0.3__bear0.3_0.7,Nifty_250,monthly,NIFTY_50,0.7,0.3,0.3,0.7,True,23.36,1.21,-29.36,25.72,1.32,-23.96,60.83,1.83,-43.12,37.09,1.36,-31.15,40.24,1.5,-43.12
Nifty_250__monthly__NIFTY_50__bull0.7_0.3__bear0.0_1.0,Nifty_250,monthly,NIFTY_50,0.7,0.3,0.0,1.0,True,20.56,1.17,-28.57,23.83,1.29,-24.08,57.79,1.83,-39.86,38.38,1.45,-31.0,39.19,1.53,-39.86
Nifty_250__monthly__NIFTY_50__bull0.6_0.4__bear0.4_0.6,Nifty_250,monthly,NIFTY_50,0.6,0.4,0.4,0.6,True,26.51,1.34,-28.79,25.48,1.35,-24.97,53.63,1.69,-42.9,41.32,1.48,-29.11,39.6,1.5,-42.9
Nifty_250__monthly__NIFTY_50__bull0.8_0.2__bear0.2_0.8,Nifty_250,monthly,NIFTY_50,0.8,0.2,0.2,0.8,True,21.4,1.13,-29.95,21.39,1.13,-28.39,53.23,1.72,-40.88,42.08,1.53,-30.4,38.25,1.48,-42.51
Nifty_250__monthly__NIFTY_50__bull0.5_0.5__bear0.0_1.0,Nifty_250,monthly,NIFTY_50,0.5,0.5,0.0,1.0,True,26.29,1.51,-26.72,22.14,1.32,-20.93,54.42,1.89,-39.17,48.53,1.9,-25.13,41.18,1.73,-39.17
Nifty_250__monthly__NIFTY_50__bull0.5_0.5__bear0.3_0.7,Nifty_250,monthly,NIFTY_50,0.5,0.5,0.3,0.7,True,29.04,1.52,-27.35,21.87,1.27,-24.52,55.37,1.84,-38.44,46.15,1.68,-29.04,40.48,1.62,-39.48
Nifty_250__monthly__NIFTY_100__bull0.7_0.3__bear0.3_0.7,Nifty_250,monthly,NIFTY_100,0.7,0.3,0.3,0.7,False,22.29,1.17,-29.36,24.06,1.27,-26.31,50.59,1.62,-44.25,36.2,1.32,-30.77,36.44,1.4,-45.37
Nifty_250__monthly__NIFTY_100__bull0.7_0.3__bear0.0_1.0,Nifty_250,monthly,NIFTY_100,0.7,0.3,0.0,1.0,True,22.18,1.23,-28.57,23.12,1.28,-23.2,55.94,1.77,-39.81,34.55,1.35,-28.89,37.03,1.47,-39.81
Nifty_250__monthly__NIFTY_100__bull0.6_0.4__bear0.4_0.6,Nifty_250,monthly,NIFTY_100,0.6,0.4,0.4,0.6,True,24.78,1.27,-28.79,23.34,1.26,-24.99,54.47,1.7,-42.23,41.41,1.49,-29.17,39.12,1.49,-42.23
Nifty_250__monthly__NIFTY_100__bull0.8_0.2__bear0.2_0.8,Nifty_250,monthly,NIFTY_100,0.8,0.2,0.2,0.8,True,21.96,1.15,-29.95,19.71,1.09,-27.79,50.94,1.66,-40.89,41.64,1.52,-31.61,36.8,1.44,-43.34
Nifty_250__monthly__NIFTY_100__bull0.5_0.5__bear0.0_1.0,Nifty_250,monthly,NIFTY_100,0.5,0.5,0.0,1.0,True,27.36,1.54,-26.72,21.95,1.33,-19.77,47.75,1.67,-39.32,45.54,1.78,-25.05,38.08,1.6,-39.32
Nifty_250__monthly__NIFTY_100__bull0.5_0.5__bear0.3_0.7,Nifty_250,monthly,NIFTY_100,0.5,0.5,0.3,0.7,True,28.87,1.52,-27.35,22.35,1.3,-24.22,56.45,1.87,-38.38,47.0,1.74,-26.39,41.27,1.66,-39.26
Nifty_250__monthly__NIFTY_200__bull0.7_0.3__bear0.3_0.7,Nifty_250,monthly,NIFTY_200,0.7,0.3,0.3,0.7,True,21.7,1.12,-32.55,25.45,1.37,-24.53,61.92,1.86,-42.41,37.16,1.35,-31.34,40.46,1.52,-42.41
Nifty_250__monthly__NIFTY_200__bull0.7_0.3__bear0.0_1.0,Nifty_250,monthly,NIFTY_200,0.7,0.3,0.0,1.0,True,21.76,1.16,-32.55,21.75,1.25,-21.27,57.22,1.79,-39.8,35.09,1.37,-28.53,37.09,1.48,-39.8
Nifty_250__monthly__NIFTY_200__bull0.6_0.4__bear0.4_0.6,Nifty_250,monthly,NIFTY_200,0.6,0.4,0.4,0.6,True,25.14,1.27,-28.81,23.73,1.29,-24.59,54.46,1.7,-42.71,43.8,1.52,-29.34,40.09,1.51,-42.71
