date,pv,cash,cash_pct,holdings,benchmark
2010-03-22,1000000.0,1000000.0,1.0,0,
2010-03-23,1002829.2972638187,6191.663689497029,0.006174195056317906,25,
2010-03-25,1006262.0609140681,6191.663689497029,0.006153132399598417,25,
2010-03-26,1010830.8821832145,6191.663689497029,0.006125321058775073,25,
2010-03-29,1005753.1069055097,6191.663689497029,0.006156246147275122,25,
2010-03-30,1009032.7040927485,6191.663689497029,0.006136236877539206,25,
2010-03-31,1017163.0424307713,6191.663689497029,0.006087189006297815,25,
2010-04-01,1035127.3608467013,6191.663689497029,0.005981547704847106,25,
2010-04-05,1029138.5268284858,6191.663689497029,0.006016355940514624,25,
2010-04-06,1027843.3409477341,6191.663689497029,0.006023937153484828,25,
2010-04-07,1031986.0085999906,6191.663689497029,0.005999755459763202,25,
2010-04-08,1035086.5152702179,6191.663689497029,0.00598178374286003,25,
2010-04-09,1042463.799388738,6191.663689497029,0.005939451991644785,25,
2010-04-12,1041377.8955505011,6191.663689497029,0.005945645395348002,25,
2010-04-13,1041517.3796942203,6191.663689497029,0.005944849130904415,25,
2010-04-15,1045718.9044939053,6191.663689497029,0.005920963714903478,25,
2010-04-16,1043597.6338953598,6191.663689497029,0.005932998972396922,25,
2010-04-19,1035685.7940912646,6191.663689497029,0.005978322503621614,25,
2010-04-20,1044907.4538012417,6191.663689497029,0.005925561796858216,25,
2010-04-21,1049560.3248608438,6191.663689497029,0.005899292820846626,25,
2010-04-22,1044003.9470685853,6191.663689497029,0.005930689924001092,25,
2010-04-23,1044027.0725373978,6191.663689497029,0.005930558557690312,25,
2010-04-26,1044629.3443054253,6191.663689497029,0.005927139346840644,25,
2010-04-27,1044813.1433588095,6191.663689497029,0.005926096669871895,25,
2010-04-28,1034433.0964536878,6191.663689497029,0.00598556224730599,25,
2010-04-29,1045282.8909261832,6191.663689497029,0.005923433496563638,25,
2010-04-30,1049176.094899903,6191.663689497029,0.005901453263751445,25,
2010-05-03,1047708.8168387052,6191.663689497029,0.005909718034233395,25,
2010-05-04,1040512.6092874974,4791.1124131126635,0.00460456929627545,25,
2010-05-05,1047410.6462482604,4791.1124131126635,0.004574244524126271,25,
2010-05-06,1057406.8066857117,4791.1124131126635,0.0045310020541003615,25,
2010-05-07,1034652.6527732722,4791.1124131126635,0.004630648169963722,25,
2010-05-10,1047460.6184052128,4791.1124131126635,0.004574026296480017,25,
2010-05-11,1037086.3925558361,4791.1124131126635,0.004619781387069653,25,
2010-05-12,1044819.4006163785,4791.1124131126635,0.004585589059971709,25,
2010-05-13,1061367.3059825092,4791.1124131126635,0.004514094589221894,25,
2010-05-14,1064513.4574548192,4791.1124131126635,0.004500753259209981,25,
2010-05-17,1060030.0762858791,4791.1124131126635,0.004519789127021477,25,
2010-05-18,1065690.595211803,4898.602763531999,0.004596646330127757,25,
2010-05-19,1049829.6846338408,4898.602763531999,0.004666092829372158,25,
2010-05-20,1052459.0960703928,4898.602763531999,0.004654435295226296,25,
2010-05-21,1043309.9366243056,4898.602763531999,0.004695251709555968,25,
2010-05-24,1043836.1918367023,4898.602763531999,0.0046928845750333365,25,
2010-05-25,1025815.1181893636,4898.602763531999,0.0047753271292963395,25,
2010-05-26,1030407.6380252606,4898.602763531999,0.004754043528753335,25,
2010-05-27,1038789.8669858765,4898.602763531999,0.004715682082792785,25,
2010-05-28,1049490.2901333787,4898.602763531999,0.004667601796401032,25,
2010-05-31,1061976.933117633,4898.602763531999,0.0046127204939859,25,
2010-06-01,1058777.5612453946,4898.602763531999,0.004626659029088208,25,
2010-06-02,1062019.7043987897,4898.602763531999,0.0046125347234542155,25,
2010-06-03,1067451.273914874,4898.602763531999,0.004589064515859716,25,
2010-06-04,1070334.311053293,4898.602763531999,0.004576703477543749,25,
2010-06-07,1067233.1867316433,4898.602763531999,0.004590002282944146,25,
2010-06-08,1068990.0777147622,4898.602763531999,0.004582458589329479,25,
2010-06-09,1075928.5079125995,4898.602763531999,0.004552907305184933,25,
2010-06-10,1084719.6363999213,4898.602763531999,0.004516008191563659,25,
2010-06-11,1092542.5126043465,4898.602763531999,0.00448367244937221,25,
2010-06-14,1091381.7412424665,4898.602763531999,0.004488441191947431,25,
2010-06-15,1101802.0727585596,9332.406294781082,0.008470129550052238,25,
2010-06-16,1109333.7433509738,9332.406294781082,0.00841262275732333,25,
2010-06-17,1111805.544065008,9332.406294781082,0.00839391955238839,25,
2010-06-18,1110474.1359649545,9332.406294781082,0.008403983481048498,25,
2010-06-21,1124406.9792711092,9332.406294781082,0.008299847356720218,25,
2010-06-22,1120363.5364100016,9332.406294781082,0.008329801882597016,25,
2010-06-23,1128124.104503238,9332.406294781082,0.008272499681132639,25,
2010-06-24,1128641.3703860957,9332.406294781082,0.008268708324583715,25,
2010-06-25,1122485.2702092447,9332.406294781082,0.008314056800978253,25,
2010-06-28,1133274.9016948338,9332.406294781082,0.008234900711931671,25,
2010-06-29,1131863.277387809,324.89453204871097,0.0002870439730128224,25,
2010-06-30,1135897.2930628264,324.89453204871097,0.0002860245675669033,25,
2010-07-01,1132237.0255389565,324.89453204871097,0.00028694922063165866,25,
2010-07-02,1138076.097462286,324.89453204871097,0.0002854769841605231,25,
2010-07-05,1141808.7298747099,324.89453204871097,0.0002845437449793903,25,
2010-07-06,1146806.9329317012,324.89453204871097,0.00028330359951535126,25,
2010-07-07,1146509.1016094647,324.89453204871097,0.00028337719394693454,25,
2010-07-08,1156636.1854618043,324.89453204871097,0.00028089604677117373,25,
2010-07-09,1160466.8641356402,324.89453204871097,0.0002799688143536134,25,
2010-07-12,1159811.6310602124,324.89453204871097,0.0002801269821304662,25,
2010-07-13,1161000.7892125275,453.4902725524007,0.0003906028977465121,25,
2010-07-14,1163003.6852796865,453.4902725524007,0.00038993021113543805,25,
2010-07-15,1160354.7156131924,453.4902725524007,0.00039082038143202843,25,
2010-07-16,1165473.464646139,453.4902725524007,0.0003891039018122042,25,
2010-07-19,1163694.5385584494,453.4902725524007,0.00038969872034818617,25,
2010-07-20,1160662.9392239857,453.4902725524007,0.0003907165958582277,25,
2010-07-21,1173560.3226519632,453.4902725524007,0.00038642263529123247,25,
2010-07-22,1182471.2565530771,453.4902725524007,0.0003835106096991585,25,
2010-07-23,1185063.697948631,453.4902725524007,0.00038267164316770606,25,
2010-07-26,1180718.7203042028,453.4902725524007,0.00038407985302,25,
2010-07-27,1178093.2490031822,611.9393293359099,0.000519431997300459,25,
2010-07-28,1175689.6244373382,611.9393293359099,0.0005204939438236277,25,
2010-07-29,1179420.584041445,611.9393293359099,0.0005188474218747451,25,
2010-07-30,1184494.5679484904,611.9393293359099,0.0005166248507122922,25,
2010-08-02,1193189.8059730243,611.9393293359099,0.0005128600045630499,25,
2010-08-03,1194172.0851740849,611.9393293359099,0.0005124381460036408,25,
2010-08-04,1199683.2321186825,611.9393293359099,0.0005100840896602377,25,
2010-08-05,1207146.3863098437,611.9393293359099,0.0005069305067520126,25,
2010-08-06,1206831.8466829602,611.9393293359099,0.0005070626293280682,25,
2010-08-09,1217070.6616701807,611.9393293359099,0.0005027968782816178,25,
2010-08-10,1209295.6277921842,368.0042568084682,0.0003043128978150157,25,
2010-08-11,1205411.6869924995,368.0042568084682,0.00030529342031404913,25,
2010-08-12,1210032.1845861652,368.0042568084682,0.000304127659988091,25,
2010-08-13,1215217.3678436335,368.0042568084682,0.00030282998461541135,25,
2010-08-16,1207249.813504428,368.0042568084682,0.0003048285886582317,25,
2010-08-17,1223692.0278324902,368.0042568084682,0.00030073274029602804,25,
2010-08-18,1235348.5346889456,368.0042568084682,0.00029789508505073816,25,
2010-08-19,1246868.7455679234,368.0042568084682,0.0002951427390545825,25,
2010-08-20,1255364.3714638415,368.0042568084682,0.0002931453729082257,25,
2010-08-23,1261129.5517721982,368.0042568084682,0.0002918052759062948,25,
2010-08-24,1259860.5988137578,394.1051964068756,0.00031281651063455097,25,
2010-08-25,1238144.4598905805,394.1051964068756,0.0003183030810812691,25,
2010-08-26,1251958.3597259785,394.1051964068756,0.0003147909779468505,25,
2010-08-27,1252775.9863813855,394.1051964068756,0.0003145855290100502,25,
2010-08-30,1253078.9051901042,394.1051964068756,0.00031450948122623294,25,
2010-08-31,1251158.0627476291,394.1051964068756,0.000314992332416732,25,
2010-09-01,1277266.81945463,394.1051964068756,0.00030855353823029045,25,
