symbol,pnl_pct,reason,entry_date,exit_date,hold_days
TRENT,0.20463364588661226,rank,2016-05-09,2016-10-24,168
BAJFINANCE,0.36435728254771127,atr_stop,2016-01-04,2016-11-15,316
HAVELLS,-0.15805180632734672,atr_stop,2016-08-16,2016-11-15,91
MOTILALOFS,-0.025531027497244008,atr_stop,2016-08-29,2016-11-15,78
DEEPAKNTR,-0.17504508217674486,atr_stop,2016-09-26,2016-11-15,50
UNOMINDA,0.48723565285856174,atr_stop,2016-01-04,2016-11-21,322
ESCORTS,0.7427108789580747,atr_stop,2016-04-25,2016-11-21,210
GODFRYPHLP,0.1250532245218987,atr_stop,2016-05-09,2016-11-21,196
MUTHOOTFIN,-0.16442903295859346,atr_stop,2016-08-01,2016-11-21,112
CGPOWER,-0.005843902800777845,rank,2016-06-06,2016-11-21,168
NATIONALUM,0.06482268457193818,rank,2016-08-29,2016-11-21,84
TVSMOTOR,-0.09813047934441921,rank,2016-10-10,2016-11-21,42
YESBANK,-0.007352667415920222,atr_stop,2016-07-18,2016-12-05,140
INDIANB,-0.089280277420267,atr_stop,2016-08-29,2016-12-26,119
BAJAJFINSV,-0.19949758542821094,atr_stop,2016-10-24,2016-12-26,63
APLAPOLLO,0.5959621700176869,rank,2016-02-29,2017-01-02,308
BERGEPAINT,-0.04244076838365085,rank,2016-12-05,2017-01-02,28
PETRONET,0.5514335237799577,rank,2016-02-15,2017-01-30,350
SYNGENE,0.35215309185859867,rank,2016-07-18,2017-01-30,196
CHOLAFIN,0.03920604992988519,rank,2016-11-21,2017-02-13,84
AIAENG,0.11727526732228077,rank,2016-11-21,2017-02-13,84
SUPREMEIND,0.23126978812840582,rank,2016-11-21,2017-02-13,84
POWERGRID,0.06598043985334145,rank,2016-11-21,2017-02-13,84
ALKEM,0.1323604350262937,rank,2016-11-21,2017-02-13,84
TRENT,0.3704712854505181,rank,2016-11-21,2017-02-13,84
PGHH,-0.008108465112094176,rank,2017-01-02,2017-02-13,42
JSWSTEEL,0.4003096375831252,rank,2016-04-11,2017-03-14,337
BPCL,-0.00976553098439048,rank,2017-01-02,2017-03-14,71
TATASTEEL,0.3111084732345293,rank,2016-08-16,2017-04-10,237
HINDZINC,0.29264721826374607,atr_stop,2016-07-18,2017-05-08,294
ADANIENSOL,0.07094780538590606,atr_stop,2017-02-13,2017-05-08,84
NATIONALUM,-0.014185083422032507,rank,2017-02-13,2017-05-08,84
BIOCON,0.3742403753825434,rank,2016-06-06,2017-05-22,350
YESBANK,0.020360728312810883,rank,2017-01-30,2017-05-22,112
TATACOMM,-0.1010508688323839,rank,2017-02-13,2017-05-22,98
FACT,0.33056069193162707,atr_stop,2017-02-13,2017-05-29,105
