date,signal_date,rank,symbol,score
2026-01-23,2026-01-22,1,HINDCOPPER,5.009529984586246
2026-01-23,2026-01-22,2,ATHERENERG,4.673878907981931
2026-01-23,2026-01-22,3,NATIONALUM,4.649071789236936
2026-01-23,2026-01-22,4,NETWEB,3.6017247290597503
2026-01-23,2026-01-22,5,VEDL,3.08009221674537
2026-01-23,2026-01-22,6,SHRIRAMFIN,2.9970683261131112
2026-01-23,2026-01-22,7,ASHOKLEY,2.9532775143186685
2026-01-23,2026-01-22,8,HINDZINC,2.8461133786792754
2026-01-23,2026-01-22,9,BANKINDIA,2.5927346894206242
2026-01-23,2026-01-22,10,JKTYRE,2.587536400519403
2026-01-23,2026-01-22,11,MUTHOOTFIN,2.533747854277979
2026-01-23,2026-01-22,12,INDIANB,2.4034141063434946
2026-01-23,2026-01-22,13,MCX,2.3526292668997275
2026-01-23,2026-01-22,14,HINDALCO,2.2591821774012923
2026-01-23,2026-01-22,15,CANBK,2.245904451476049
2026-01-23,2026-01-22,16,M&MFIN,2.199784702995364
2026-01-23,2026-01-22,17,LTF,2.1654554248073787
2026-01-23,2026-01-22,18,INDIACEM,2.0313007017352818
2026-01-23,2026-01-22,19,CUB,2.017501651783475
2026-01-23,2026-01-22,20,IDEA,2.017473742554146
2026-01-23,2026-01-22,21,AUBANK,1.9915379902517676
2026-01-23,2026-01-22,22,FEDERALBNK,1.978392208191573
2026-01-23,2026-01-22,23,ABCAPITAL,1.88811119720028
2026-01-23,2026-01-22,24,GPIL,1.8477810059967792
