old,new,t0,t1,c,pc
RNAM,NAM-INDIA,2020-01-22,2020-01-23,346.35,346.35
ALOKTEXT,ALOKINDS,2020-01-30,2020-02-19,3.3,3.3
BOROSIL,BORORENEW,2020-02-19,2020-02-20,220.15,220.15
TATAGLOBAL,TATACONSUM,2020-02-26,2020-02-27,365.65,365.65
ANDPAPER,ANDHRAPAP,2020-03-04,2020-03-05,230.65,230.65
WEIZFOREX,EBIXFOREX,2020-03-19,2020-03-20,304.05,304.05
ADLABS,IMAGICAA,2020-04-21,2020-04-22,4.05,4.05
SAKETH,TEMBO,2020-03-31,2020-04-29,120.0,120.0
ZENITHBIR,ZENITHSTL,2020-08-18,2020-08-19,0.85,0.85
NIITTECH,COFORGE,2020-08-19,2020-08-20,2017.45,2017.45
DEEPIND,DEEPENR,2020-09-29,2020-09-30,68.85,68.85
AIONJSW,JSWISPL,2020-10-09,2020-10-12,17.5,17.5
FAIRCHEM,PRIVISCL,2020-10-13,2020-10-14,551.9,551.9
ESSELPACK,EPL,2020-10-16,2020-10-19,253.75,253.75
IBVENTURES,DHANI,2020-10-27,2020-10-28,190.9,190.9
STRTECH,STLTECH,2020-10-28,2020-10-29,151.3,151.3
SUBEX,SUBEXLTD,2020-10-21,2020-11-05,16.95,16.95
PAPERPROD,HUHTAMAKI,2020-11-25,2020-11-26,300.0,300.0
IBULISL,YAARII,2020-12-07,2020-12-08,68.55,68.55
INFRATEL,INDUSTOWER,2020-12-17,2020-12-18,241.65,241.65
ADANIGAS,ATGL,2021-01-12,2021-01-13,365.9,365.9
8KMILES,SECURKLOUD,2021-01-19,2021-01-20,84.15,84.15
CESCVENT,RPSGVENT,2021-01-29,2021-02-01,297.6,297.6
OMMETALS,OMINFRAL,2021-02-09,2021-02-10,23.25,23.25
JUBILANT,JUBLPHARMA,2021-02-11,2021-02-12,903.6,903.6
RTNINFRA,RTNINDIA,2021-04-06,2021-04-07,4.95,4.95
VIKASMCORP,VIKASLIFE,2021-05-05,2021-05-06,2.95,2.95
ADHUNIKIND,INCREDIBLE,2021-05-19,2021-05-20,28.2,28.2
ORIENTREF,RHIM,2021-07-20,2021-07-22,322.4,322.4
MAGMA,POONAWALLA,2021-08-04,2021-08-05,169.5,169.5
NANDANI,JAIPURKURT,2021-08-05,2021-08-09,41.0,41.0
GAMMNINFRA,AJRINFRA,2021-08-13,2021-08-16,1.8,1.8
EBIXFOREX,DELPHIFX,2021-08-31,2021-09-01,554.15,554.15
MAJESCO,AURUM,2021-10-21,2021-10-22,87.3,87.3
ANGELBRKG,ANGELONE,2021-11-10,2021-11-11,1240.6,1240.6
PROINDIA,EQUIPPP,2021-11-29,2021-11-30,92.9,92.9
AGCNET,BBOX,2021-12-02,2021-12-03,906.85,906.85
YAARII,YAARI,2021-12-14,2021-12-15,100.75,100.75
KARDA,KBCGLOBAL,2021-12-15,2021-12-16,16.55,16.55
LINCPEN,LINC,2021-12-17,2021-12-20,235.6,235.6
JUMPNET,WINPRO,2021-12-21,2021-12-22,8.85,8.85
PHILIPCARB,PCBL,2022-01-12,2022-01-13,247.05,247.05
DSML,DIL,2022-01-12,2022-01-14,137.0,137.0
BURGERKING,RBA,2022-02-16,2022-02-17,139.9,139.9
PDSMFL,PDSL,2022-02-16,2022-02-17,1727.35,1727.35
CADILAHC,ZYDUSLIFE,2022-03-04,2022-03-07,345.95,345.95
INTEGRA,ESSENTIA,2022-02-28,2022-03-07,1.7,1.7
SHRIRAMEPC,SEPC,2022-03-08,2022-03-09,7.95,7.95
DUDIGITAL,DUGLOBAL,2022-03-16,2022-03-17,331.85,331.85
WABCOINDIA,ZFCVINDIA,2022-03-31,2022-04-01,7631.7,7631.7
DALALSTCOM,KEEPLEARN,2022-04-04,2022-04-11,1.25,1.25
HSIL,AGI,2022-05-10,2022-05-11,299.2,299.2
MOTHERSUMI,MOTHERSON,2022-06-08,2022-06-09,124.0,124.0
CEBBCO,JWL,2022-06-17,2022-06-20,52.45,52.45
SHIL,HINDWAREAP,2022-06-20,2022-06-21,269.65,269.65
ZUARIGLOB,ZUARIIND,2022-07-01,2022-07-04,145.2,145.2
TMRVL,HEADSUP,2022-07-15,2022-07-18,14.15,14.15
NBVENTURES,NAVA,2022-07-28,2022-07-29,200.8,200.8
MINDAIND,UNOMINDA,2022-08-04,2022-08-05,529.05,529.05
MODISNME,MODISONLTD,2022-08-12,2022-08-16,67.1,67.1
DHANVARSHA,TRU,2022-08-30,2022-09-01,95.95,95.95
DHARAMSI,DMCC,2022-11-01,2022-11-02,363.55,363.55
ACRYSIL,CARYSIL,2022-11-17,2022-11-18,494.3,494.3
JTLINFRA,JTLIND,2022-11-18,2022-11-21,295.8,295.8
HOTELRUGBY,UNIVAFOODS,2022-11-22,2022-11-28,5.6,5.6
LTI,LTIM,2022-12-02,2022-12-05,5065.75,5065.75
BHAGYAPROP,ARHAM,2022-12-09,2022-12-15,42.15,42.0
SRTRANSFIN,SHRIRAMFIN,2022-12-19,2022-12-20,1372.25,1372.25
WFL,WEL,2023-01-03,2023-01-04,269.5,269.5
INEOSSTYRO,STYRENIX,2023-01-19,2023-01-20,807.8,807.8
IIFLWAM,360ONE,2023-01-20,2023-01-23,1922.25,1922.25
CLNINDIA,HEUBACHIND,2023-03-09,2023-03-10,319.55,319.55
NXTDIGITAL,NDLVENTURE,2023-05-08,2023-05-09,117.0,117.0
PVR,PVRINOX,2023-05-11,2023-05-12,1454.05,1454.05
BINDALAGRO,OSWALGREEN,2023-05-18,2023-05-19,22.65,22.65
KALPATPOWR,KPIL,2023-06-05,2023-06-06,522.85,522.85
TWL,TITAGARH,2023-06-16,2023-06-19,425.1,425.1
MAHINDCIE,CIEINDIA,2023-06-16,2023-06-19,507.7,507.7
GAL,SHAH,2023-06-30,2023-07-03,2.95,2.95
STAMPEDE,GATECH,2023-07-10,2023-07-17,1.2,1.2
UCALFUEL,UCAL,2023-07-25,2023-07-26,157.65,157.65
4THDIM,GVPTECH,2023-07-28,2023-07-31,13.45,13.45
ORIENTABRA,ORIENTCER,2023-07-28,2023-07-31,34.25,34.25
PROZONINTU,PROZONER,2023-08-03,2023-08-04,25.9,25.9
SCAPDVR,GATECHDVR,2023-08-07,2023-08-08,10.4,10.4
SUNCLAYLTD,TVSHLTD,2023-08-09,2023-08-10,5390.1,5390.1
SEPOWER,SAMPANN,2023-08-22,2023-08-23,17.25,17.25
ADANITRANS,ADANIENSOL,2023-08-23,2023-08-24,890.4,890.4
MFL,EPIGRAL,2023-09-08,2023-09-11,1063.85,1063.85
KEERTI,GTECJAINX,2023-09-11,2023-09-12,71.95,71.95
REVATHI,SEMAC,2023-09-20,2023-09-21,1950.45,1950.45
LSIL,LLOYDSENGG,2023-10-13,2023-10-16,48.25,48.25
GISOLUTION,TPHQ,2023-10-19,2023-10-20,11.85,11.85
AMARAJABAT,ARE&M,2023-10-26,2023-10-27,604.15,604.15
DAAWAT,LTFOODS,2023-11-03,2023-11-06,187.95,187.95
GATI,ACLGATI,2023-11-29,2023-11-30,137.05,137.05
WELSPUNIND,WELSPUNLIV,2023-12-13,2023-12-14,158.95,158.95
ATLANTA,ATLANTAA,2023-12-14,2023-12-15,24.5,24.5
L&TFH,LTF,2024-04-22,2024-04-23,163.75,163.75
MCDOWELL-N,UNITDSPR,2024-06-06,2024-06-07,1305.45,1305.45
AEGISCHEM,AEGISLOG,2024-06-06,2024-06-07,791.15,791.15
IBREALEST,EMBDL,2024-07-05,2024-07-08,150.35,150.35
IBULHSGFIN,SAMMAANCAP,2024-07-25,2024-07-26,164.4,164.4
AMBANIORG,AMBANIORGO,2024-07-31,2024-08-01,100.0,100.0
SPYL,SHEKHAWATI,2024-08-08,2024-08-09,7.34,7.34
TRIL,TARIL,2024-08-23,2024-08-26,745.3,745.3
ORTINLAB,ORTINGLOBE,2024-09-02,2024-09-03,20.37,20.37
ALLSEC,ALLDIGI,2024-09-26,2024-09-27,1084.2,1084.2
TIPSINDLTD,TIPSMUSIC,2024-09-27,2024-09-30,684.2,684.2
TIDEWATER,VEEDOL,2024-10-08,2024-10-09,2129.5,2129.5
LAXMIMACH,LMW,2024-10-09,2024-10-10,17324.6,17324.6
CENTURYTEX,ABREL,2024-10-09,2024-10-10,2714.05,2714.05
SHREYAS,TRANSWORLD,2024-10-22,2024-10-23,355.85,355.85
GET&D,GVT&D,2024-11-04,2024-11-05,1771.1,1771.1
REVATHIEQU,RVTH,2024-11-25,2024-11-26,1900.5,1900.5
IIFLSEC,IIFLCAPS,2024-12-02,2024-12-03,331.75,331.75
ACSAL,ARVINDPORT,2024-12-06,2024-12-09,91.85,91.85
GMRINFRA,GMRAIRPORT,2024-12-10,2024-12-11,85.13,85.13
HBLPOWER,HBLENGINE,2024-12-20,2024-12-23,652.65,652.65
URAVI,URAVIDEF,2025-01-15,2025-01-16,410.25,410.25
GLS,ALIVUS,2025-01-17,2025-01-20,1084.35,1084.35
TCLCONS,TICL,2025-02-06,2025-02-07,53.85,53.85
EMAIN,EMAPARTNER,2025-03-10,2025-03-11,122.95,122.95
CAREERP,CPCAP,2025-03-19,2025-03-20,377.75,377.75
ATFL,SUNDROP,2025-03-27,2025-03-28,785.6,785.6
AHL,AFSL,2025-03-28,2025-04-01,177.0,177.0
ZOMATO,ETERNAL,2025-04-08,2025-04-09,215.19,215.19
HIL,BIRLANU,2025-04-08,2025-04-09,1845.05,1845.05
ADORWELD,ADOR,2025-04-09,2025-04-11,852.45,852.45
MRO-TEK,UMIYA-MRO,2025-04-11,2025-04-15,61.2,61.2
SUVENPHAR,COHANCE,2025-05-16,2025-05-19,1079.2,1079.2
AMIORG,ACUTAAS,2025-05-30,2025-06-02,1176.3,1176.3
KAVVERITEL,KAVDEFENCE,2025-06-20,2025-06-23,43.81,43.81
SATINDLTD,AEROENTER,2025-06-24,2025-06-25,94.9,94.9
KBCGLOBAL,DHARAN,2025-06-25,2025-06-26,0.47,0.47
UMANGDAIRY,SUNTECH,2025-06-26,2025-07-02,85.73,86.0
BINANIIND,BILVYAPAR,2025-07-11,2025-07-14,12.02,12.02
TIMESGTY,TEAMGTY,2025-08-12,2025-08-13,286.2,286.2
SAH,AERONEU,2025-08-21,2025-08-22,104.75,104.75
GEPIL,GVPIL,2025-08-26,2025-08-28,359.45,359.45
HOVS,HGM,2025-09-02,2025-09-03,77.57,77.57
SWANENERGY,SWANCORP,2025-09-03,2025-09-04,460.9,460.9
GANESHHOUC,GANESHHOU,2025-09-12,2025-09-15,873.5,873.5
ARSSINFRA,GML,2025-09-03,2025-09-17,54.27,54.0
ITDCEM,CEMPRO,2025-09-16,2025-09-17,826.2,826.2
SELAN,ANTELOPUS,2025-09-19,2025-09-22,567.9,567.9
WORTH,WORTHPERI,2025-10-09,2025-10-10,159.0,159.0
AARVEEDEN,VGL,2025-10-10,2025-10-13,151.42,151.42
BARBEQUE,UFBL,2025-10-10,2025-10-13,224.87,224.87
SUNDARMHLD,TSFINV,2025-10-15,2025-10-16,684.25,684.25
GODHA,AURIGROW,2025-10-16,2025-10-17,0.56,0.56
TATAMOTORS,TMPV,2025-10-23,2025-10-24,405.85,405.85
SMLISUZU,SMLMAH,2025-11-07,2025-11-10,3142.2,3142.2
YAARI,IBULLSLTD,2025-11-03,2025-11-10,21.04,21.04
AURDIS,ALCODIS,2025-11-17,2025-11-19,140.4,140.4
SMSLIFE,HALEOSLABS,2025-11-25,2025-11-26,1380.1,1380.1
CREATIVE,CNL,2025-12-09,2025-12-10,739.4,739.4
LAWSIKHO,ADDICTIVE,2025-12-16,2025-12-17,110.05,110.05
JCHAC,BOSCH-HCIL,2025-12-23,2025-12-24,1432.2,1432.2
SGLTL,SETL,2026-01-16,2026-01-19,137.32,137.32
HEUBACHIND,SUDARCOLOR,2026-01-19,2026-01-20,412.5,412.5
SEQUENT,VIYASH,2026-01-22,2026-01-23,201.17,201.17
AMJUMBO,PARAMPARA,2026-01-21,2026-01-28,10.3,10.3
INFIBEAM,CCAVENUE,2026-02-02,2026-02-03,16.9,16.9
DRL,DIRL,2026-01-01,2026-02-09,19.9,19.9
ARISINFRA,ARIS,2026-02-06,2026-02-09,84.18,84.18
MEGASOFT,SIGMAADV,2026-02-06,2026-02-09,188.95,188.95
SABTNL,AQYLON,2026-02-10,2026-02-11,1985.6,1985.6
LTIM,LTM,2026-02-26,2026-02-27,4504.0,4504.0
EXCEL,LANDSMILL,2026-04-01,2026-04-02,1.02,1.02
AKZOINDIA,JSWDULUX,2026-04-13,2026-04-15,2986.8,2986.8
ASLIND,AVATAR,2026-04-21,2026-04-27,100.0,100.0
SASTASUNDR,HEALTHX,2026-04-29,2026-04-30,282.6,282.6
VISASTEEL,VISACHROME,2026-05-19,2026-05-20,47.92,47.92
AMBEY,DHANSA,2026-05-29,2026-06-05,25.0,25.0
MIRCELECTR,ONIDA,2026-06-18,2026-06-19,38.22,38.22
GUJGASLTD,GUJENERGY,2026-06-30,2026-07-01,327.05,327.05
AVAILFC,VMOBILE,2026-06-03,2026-07-07,157.73,158.0
LYPSAGEMS,AURUS,2026-07-13,2026-07-14,4.63,4.63
AMIRCHAND,AEROPLANE,2026-07-17,2026-07-20,185.11,185.11
ASHIKA,ASHIKAG,2026-07-24,2026-07-27,399.25,399.25
KEL,VISDEM,2026-08-05,2026-08-06,81.55,81.55
