old,new,t0,t1,c,pc
ABANLOYD,ABAN,2006-08-17,2006-08-18,1198.45,1198.45
SATNAMOVER,KOHINOOR,2006-08-17,2006-08-18,82.25,82.25
WYETHLEDE,WYETH,2006-08-31,2006-09-01,580.3,580.3
RAJASSPG,RSWM,2006-08-31,2006-09-01,111.8,111.8
GOETZEIND,FMGOETZE,2006-09-11,2006-09-12,307.9,307.9
BAGYAMETAL,BHAGYNAGAR,2006-09-11,2006-09-12,34.6,34.6
ADANIEXPO,ADANIENT,2006-09-19,2006-09-20,125.1,125.1
AZTEC,AZTECSOFT,2006-09-19,2006-09-20,138.65,138.65
MAHAVIRSPG,VTL,2006-10-10,2006-10-11,287.5,287.5
UNIWESTBNK,DCB,2006-09-29,2006-10-27,25.9,26.0
APCOTEXLAT,APCOTEXIND,2006-10-31,2006-11-01,42.25,42.25
AFTEKINFO,AFTEK,2006-11-24,2006-11-27,57.8,57.8
SCHENHERD,SIGROUPIND,2006-11-27,2006-11-28,33.35,33.35
SEARLEIND,RPGLS,2006-12-04,2006-12-05,97.45,97.45
SAELTD,RPGTLTD,2006-12-04,2006-12-05,162.55,162.55
MPHASISBFL,MPHASIS,2006-12-22,2006-12-26,290.35,290.35
INDORAMTEX,FSL,2007-01-23,2007-02-22,64.25,64.0
ZEETELE,ZEEL,2007-02-27,2007-02-28,238.35,238.35
SPLLTD,SOMANYCERA,2007-03-20,2007-03-21,56.9,56.9
ASTRAIDL,ASTRAZEN,2007-04-09,2007-04-10,599.9,599.9
FLEX,UFLEX,2007-04-16,2007-04-17,215.3,215.3
INDUJENERT,ENTEGRA,2007-04-24,2007-04-25,16.25,16.25
SUTLEJINDS,SILINV,2007-06-20,2007-06-21,62.1,62.1
GUJAPOLIND,GUJAPOLLO,2007-07-05,2007-07-06,191.6,191.6
HINDLEVER,HINDUNILVR,2007-07-18,2007-07-19,198.8,198.8
GUJAMBCEM,AMBUJACEM,2007-07-23,2007-07-24,135.35,135.35
BALASPONGE,JAIBALAJI,2007-08-09,2007-08-10,176.85,176.85
UTIBANK,AXISBANK,2007-08-14,2007-08-16,597.5,597.5
TITANOCOMP,DENORA,2007-08-17,2007-08-21,106.05,106.05
HINDALC0,HINDALCO,2007-08-24,2007-08-27,142.0,142.0
NAHAREXPOT,NAHARINVST,2007-10-31,2007-11-01,25.65,25.65
EMERCK,MERCK,2007-11-02,2007-11-05,387.55,387.55
PARADYNE,GLODYNE,2007-11-16,2007-11-19,245.8,245.8
GESCOCORP,MAHLIFE,2007-11-22,2007-11-23,657.8,657.8
HINDUJATMT,HINDUJAVEN,2007-11-28,2007-11-29,573.75,573.75
STROPTICAL,STRTECH,2007-12-14,2007-12-17,371.6,371.6
COLGATE,COLPAL,2007-11-28,2007-12-17,382.1,382.1
GENUSOVERE,GENUSPOWER,2008-01-11,2008-01-14,846.25,846.25
SUPREMYARN,SUPREMETEX,2008-02-14,2008-02-15,39.5,39.5
IOLB,IOLN,2008-02-15,2008-02-18,318.6,318.6
GODAVRFERT,KNRCON,2008-02-14,2008-02-18,169.7,170.0
HORIZONBAT,HORIZONINF,2008-02-21,2008-02-22,534.05,534.05
NAGPURENG,JAYNECOIND,2008-02-21,2008-02-22,48.75,48.75
AMDMET,AMDIND,2008-02-22,2008-02-25,38.85,38.85
SHRINGAR,FAME,2008-02-22,2008-02-25,64.4,64.4
ERACONS,ERAINFRA,2008-02-22,2008-02-25,684.3,684.3
VSNL,TATACOMM,2008-02-22,2008-02-25,484.7,484.7
MICO,BOSCHLTD,2008-02-27,2008-02-28,4099.1,4099.1
GOLDTELE,GOLDINFRA,2008-02-28,2008-02-29,55.9,55.9
RANEBRAKE,NAHARCAP,2008-02-14,2008-03-11,188.25,189.0
BAJAJAUTO,BAJAJHLDNG,2008-03-13,2008-03-14,2101.05,2101.05
RPGLS,BRABOURNE,2008-03-13,2008-03-14,32.25,32.25
ENNOREFO,HINDUJAFO,2008-03-19,2008-03-24,141.95,141.95
PDUMJEAGRO,PDUMJEIND,2008-03-27,2008-03-28,30.35,30.35
KECINFRA,SUMMIT,2008-04-17,2008-04-21,21.65,21.65
BVXL,DIGJAM,2008-04-25,2008-04-28,16.75,16.75
GUJGLASS,PIRGLASS,2008-05-09,2008-05-12,333.5,333.5
GBN,IBN18,2008-05-14,2008-05-15,119.5,119.5
REL,RELINFRA,2008-05-15,2008-05-16,1454.55,1454.55
VDOCONAPPL,VALUEIND,2008-05-21,2008-05-22,36.15,36.15
NICOLASPIR,PIRHEALTH,2008-06-18,2008-06-19,359.7,359.7
SOFTSOLINT,PVP,2008-06-20,2008-06-23,105.55,105.55
AML,ABHISHEK,2008-06-25,2008-06-26,30.15,30.15
ARVINDMILL,ARVIND,2008-07-04,2008-07-07,29.5,29.5
LANABS,INEABS,2008-07-18,2008-07-23,145.0,145.0
BIRLAJUTE,BIRLACORPN,2008-07-25,2008-07-28,162.6,162.6
I-FLEX,OFSS,2008-09-17,2008-09-18,937.0,937.0
GTCIND,GOLDENTOBC,2008-09-26,2008-09-29,122.9,122.9
GEOINFO,GEODESIC,2008-10-03,2008-10-06,149.45,149.45
KNL,KGL,2008-11-19,2008-11-20,7.95,7.95
ARROWGROUP,DELTACORP,2008-12-10,2008-12-11,24.25,24.25
GPELECT,DELTAMAGNT,2008-11-21,2008-12-22,12.0,12.0
ELGITYRE,ELGIRUBBER,2008-12-19,2008-12-22,5.75,5.75
HTMTGLOBAL,HGSL,2009-01-22,2009-01-23,130.0,130.0
DABURPHARM,FKONCO,2009-02-18,2009-02-19,36.3,36.3
MEDIA,MVLIND,2009-02-19,2009-02-20,13.85,13.85
BCCL,ABCIL,2009-03-06,2009-03-09,32.1,32.1
PHOENIXLMP,HALONIX,2009-03-06,2009-03-09,46.5,46.5
SOLAREX,SOLARINDS,2009-04-09,2009-04-13,209.0,209.0
DATATECH,DATAMATICS,2009-04-17,2009-04-20,19.5,19.5
HINDSANIT,HSIL,2009-04-24,2009-04-27,29.6,29.6
IILTD,INSECTICID,2009-05-08,2009-05-11,38.55,38.55
MYSORECEM,HEIDELBERG,2009-05-14,2009-05-15,26.95,26.95
GEOJIT,GEOJITBNPP,2009-06-04,2009-06-05,50.7,50.7
AKRUTI,ACKRUTI,2009-06-29,2009-06-30,522.7,522.7
GKW,GKWLIMITED,2009-06-23,2009-07-20,38.15,38.15
XLTL,XLTELENE,2009-07-21,2009-07-22,51.05,51.05
D-LINK,SMARTLINK,2009-07-28,2009-07-29,44.2,44.2
SAVITACHEM,SOTL,2009-08-21,2009-08-24,240.05,240.05
INVSTSMART,HINVDIR,2009-09-04,2009-09-07,271.75,271.75
APOLLOSIND,BIRLAMONEY,2009-09-08,2009-09-09,41.6,41.6
COROMNFERT,COROMANDEL,2009-10-09,2009-10-12,213.95,213.95
ADLABSFILM,RELMEDIA,2009-10-17,2009-10-20,359.3,359.3
IBRETAILS,STOREONE,2009-10-23,2009-10-26,35.5,35.5
COREEMBLG,AUSOMENT,2009-11-30,2009-12-02,13.15,13.15
OTL,ORIENTALTL,2009-12-16,2009-12-17,13.95,13.95
UMITL,UMESL,2010-01-06,2010-01-07,21.6,21.6
JPHYDRO,JPPOWER,2010-01-07,2010-01-08,83.15,83.15
SURANATELE,SURANAT&P,2010-02-06,2010-02-08,38.95,38.95
BRABOURNE,GKB,2010-02-02,2010-03-02,10.05,10.0
GWALCHEM,GEECEE,2010-03-04,2010-03-05,91.7,91.7
ZANDUPHARM,ZANDUREALT,2010-03-09,2010-03-10,4210.95,4210.95
ASIANHOTEL,ASIANHOTNR,2010-02-23,2010-04-07,559.95,559.95
IVRPRIME,IVRCLAH,2010-04-12,2010-04-13,179.95,179.95
SUBHASPROJ,SPMLINFRA,2010-05-13,2010-05-14,171.2,171.2
ANSALINFRA,ANSALAPI,2010-05-13,2010-05-14,88.1,88.1
WELGUJ,WELCORP,2010-05-14,2010-05-17,257.0,257.0
KALSTEELS,KSL,2010-04-21,2010-05-19,282.15,282.15
ICI,AKZOINDIA,2010-05-26,2010-05-27,586.1,586.1
GMRFER,CRONIMET,2010-06-01,2010-06-02,43.3,43.3
AVAYAGCL,AGCNET,2010-06-07,2010-06-08,260.95,260.95
ANGAUTO,ANGIND,2010-06-15,2010-06-16,56.75,56.75
CHOLADBS,CHOLAFIN,2010-06-21,2010-06-22,130.75,130.75
FTCPOF3YDV,LAKSHMIFIN,2010-05-19,2010-06-30,12.05,12.0
UMESL,UMESLTD,2010-06-11,2010-07-12,38.15,38.15
SEJALGLASS,SEZALGLASS,2010-07-13,2010-07-14,79.65,79.65
TATATEA,TATAGLOBAL,2010-07-20,2010-07-21,121.9,121.9
SREINTFIN,SREINFRA,2010-07-20,2010-07-21,88.55,88.55
VITLINFO,CORALHUB,2010-07-23,2010-07-26,8.55,8.55
RMEDIA,RBN,2010-08-19,2010-08-20,83.85,83.85
BAJAUTOFIN,BAJFINANCE,2010-09-28,2010-09-29,793.6,793.6
DALMIACEM,DALMIASUG,2010-09-29,2010-09-30,66.35,66.35
SOFTPRO,CURATECH,2010-11-22,2010-11-23,343.45,343.45
GMRINDS,PARRYSUGAR,2010-12-01,2010-12-02,145.55,145.55
OBEROIREAL,OBEROIRLTY,2010-12-09,2010-12-10,265.1,265.1
XLTELENE,XLENERGY,2010-12-10,2010-12-13,23.45,23.45
VATECH,WABAG,2010-12-14,2010-12-15,1493.1,1493.1
MSKPROJ,WELPROJ,2011-01-03,2011-01-04,96.8,96.8
SWARAJMAZD,SMLISUZU,2011-01-14,2011-01-17,398.9,398.9
SHASUNCHEM,SHASUNPHAR,2011-01-27,2011-01-28,73.7,73.7
MAYTASINFR,IL&FSENGG,2011-02-07,2011-02-08,175.1,175.1
HINDMOTOR,HINDMOTORS,2011-01-25,2011-02-21,20.05,20.05
NET4INDIA,NET4,2011-02-25,2011-02-28,102.7,102.7
ENKEI,ALICON,2011-03-01,2011-03-07,60.0,60.0
KSERAPRO,KSERASERA,2011-03-04,2011-03-07,11.0,11.0
HIMACHLFUT,HFCL,2011-02-07,2011-03-09,9.4,9.4
NAGARCONST,NCC,2011-03-14,2011-03-15,99.7,99.7
MANALU,MAANALU,2011-03-15,2011-03-16,42.15,42.15
KIRIDYES,KIRIINDUS,2011-03-25,2011-03-28,312.8,312.8
VIJAYTEX,VTXIND,2011-04-01,2011-04-04,17.0,17.0
ABSHEKINDS,TRIDENT,2011-05-02,2011-05-03,15.6,15.6
ESSARSHIP,ESSARPORTS,2011-05-17,2011-05-31,94.95,94.95
GARWOFFS,GLOBOFFS,2011-06-06,2011-06-07,124.55,124.55
MID-DAY,NEXTMEDIA,2011-06-14,2011-06-15,6.1,6.1
NAHARINVST,NAHARPOLY,2011-06-14,2011-06-16,29.9,29.9
INFOSYSTCH,INFY,2011-06-28,2011-06-29,2865.3,2865.3
BINANICEM,DHANUKA,2011-05-20,2011-06-29,90.5,90.3
IBN18,TV18BRDCST,2011-07-18,2011-07-19,72.0,72.0
HEROHONDA,HEROMOTOCO,2011-08-05,2011-08-08,1785.35,1785.35
ISPATIND,JSWISPAT,2011-08-12,2011-08-16,15.6,15.6
INDOASIFU,EONELECT,2011-08-17,2011-08-18,62.2,62.2
GSSAMERICA,GSS,2011-08-23,2011-08-24,131.95,131.95
WABCO-TVS,WABCOINDIA,2011-09-05,2011-09-06,1304.65,1304.65
COREPROTEC,COREEDUTEC,2011-09-06,2011-09-07,295.3,295.3
PIPAVAVYD,PIPAVAVDOC,2011-09-28,2011-09-29,79.8,79.8
SENTINEL,STEL,2011-11-04,2011-11-08,15.7,15.7
ACKRUTI,HUBTOWN,2011-11-14,2011-11-15,181.85,181.85
CPIL,CAREERP,2011-11-15,2011-11-16,260.35,260.35
MLL,MERCATOR,2011-12-07,2011-12-08,21.85,21.85
MUNDRAPORT,ADANIPORTS,2012-01-16,2012-01-17,135.5,135.5
CAMLIN,KOKUYOCMLN,2012-02-13,2012-02-14,37.9,37.9
VISHALRET,V2RETAIL,2012-02-23,2012-02-24,17.7,17.7
AGRE,FMNL,2012-03-05,2012-03-06,34.8,34.8
AREVAT&D,ALSTOMT&D,2012-03-09,2012-03-12,184.8,184.8
TEXMACOLTD,TEXINFRA,2012-03-19,2012-03-20,26.55,26.55
PROVOGUE,PROVOGE,2012-03-06,2012-03-26,34.1,34.1
CRONIMET,METKORE,2012-03-30,2012-04-02,15.1,15.1
ORIENTCERA,ORIENTBELL,2012-04-16,2012-04-17,54.45,54.45
DEWANHOUS,DHFL,2012-05-21,2012-05-22,177.8,177.8
EONELECT,EON,2012-05-07,2012-06-07,51.95,51.95
CINEMAX,CINEPRO,2012-05-16,2012-06-13,31.65,31.65
INEABS,STYABS,2012-06-19,2012-06-20,714.1,714.1
CAMBRIDGE,XCHANGING,2012-06-22,2012-06-25,17.35,17.35
HOPFL,PGIL,2012-06-29,2012-07-02,83.2,83.2
NUMERICPW,SWELECTES,2012-07-06,2012-07-09,254.0,254.0
APIL,AIL,2012-07-10,2012-07-11,413.05,413.05
AVENTIS,SANOFI,2012-07-10,2012-07-11,2174.4,2174.4
SURAJDIAMN,WINSOMEDJ,2012-07-23,2012-07-24,37.55,37.55
