index,company_name,spell_from,spell_to,isin,symbol,symbol_from,symbol_to,method,candidates
nse500,Bajaj Hindusthan Ltd.,1998-08-01,2002-04-23,INE306A01021,BAJAJHIND,,,isin-only,
nse500,Bajaj Hindusthan Ltd.,2003-09-29,2018-09-28,INE306A01021,BAJAJHIND,2005-01-03,2018-09-28,manual-isin,
nse500,Bajaj Tempo Ltd.,1998-08-01,2001-04-25,,,,,unresolved,
nse500,Balaji Distilleries Ltd.,1998-08-01,2004-03-15,INE453A01013,,,,isin-only,
nse500,Ballarpur Industries Ltd.,1998-08-01,2008-02-29,INE294A01037,BALLARPUR,,,isin-only,
nse500,Ballarpur Industries Ltd.,2009-03-27,2018-09-28,INE294A01037,BALLARPUR,2009-03-27,2018-09-28,manual-isin,
nse500,Bank of Punjab Ltd.,2001-08-31,2005-10-06,INE458A01012,BANKPUNJAB,2005-01-03,2005-10-05,norm-exact,
nse500,Bank of Rajasthan Ltd.,2002-03-29,2004-03-01,INE320A01014,BANKRAJAS,,,isin-only,
nse500,Bayer Cropscience India Ltd. -Erstwhile,2000-01-12,2003-11-21,,,,,unresolved,
nse500,Bell Ceramics Ltd.,1998-08-01,1999-09-08,,,,,unresolved,
nse500,Bharat Hotels Ltd. - Delisted,2002-09-19,2003-06-17,,,,,unresolved,
nse500,Bharti Telecom Ltd.-Suspended,1998-08-01,1999-12-08,,,,,unresolved,
nse500,Bhushan Steel Ltd.,2002-07-09,2002-09-19,INE824B01021,BHUSANSTL|TATASTLBSL,,,isin-only,
nse500,Bhushan Steel Ltd.,2004-07-09,2018-09-28,INE824B01021,BHUSANSTL,2005-01-03,2018-09-28,manual-isin,
nse500,Binani Cement Ltd.,2010-04-08,2011-05-18,INE042H01019,BINANICEM,2010-04-08,2011-05-18,norm-exact,
nse500,Binani Industries Ltd.,1998-08-01,2002-09-19,INE071A01013,BINANIIND|BILVYAPAR,,,isin-only,
nse500,Birla Ericsson Optical Ltd.,1999-09-08,2007-09-24,INE800A01015,BIRLAERIC,2005-01-03,2007-09-24,manual-symbol,
nse500,Birla Global Finance Ltd.,1998-08-01,2006-07-10,INE097A01018,BGFL,2005-01-03,2006-07-07,norm-exact,
nse500,Birla Power Solutions Ltd.,1998-08-01,2002-03-29,INE224B01024,BIRLAPOWER,,,isin-only,
nse500,Blow Plast Ltd.,1998-08-01,2002-04-23,INE051A01015,BLOWPLAST,,,isin-only,
nse500,Blue Star Infotech Ltd.,2002-04-23,2008-09-10,INE504B01011,BLUESTINFO,2005-01-03,2008-09-10,norm-exact,
nse500,Bombay Rayon Fashions Ltd.,2007-04-04,2014-03-28,INE589G01011,BRFL,2007-04-04,2014-03-28,norm-exact,
nse500,Bombay Rayon Fashions Ltd.,2016-04-01,2017-03-31,INE589G01011,BRFL,2016-04-01,2017-03-31,norm-exact,
nse500,Bombay Rayon Fashions Ltd.,2017-09-29,2018-09-28,INE589G01011,BRFL,2017-09-29,2018-09-28,norm-exact,
nse500,Bongaigaon Refinery & Petrochemicals Ltd.,1998-08-01,2009-04-21,INE241A01012,BONGAIREFN,2005-01-03,2009-04-20,norm-exact,
nse500,Bosch Chassis Systems India Ltd.,2005-03-04,2008-10-31,INE053B01019,KALYANBRAK,2005-03-04,2006-02-08,norm-exact,
nse500,Bosch Chassis Systems India Ltd.,2005-03-04,2008-10-31,INE053B01019,BOSCHCHASY,2006-02-10,2008-10-29,norm-exact,
nse500,Brabourne Enterprises Ltd.,1998-08-01,2008-02-15,INE629A01018,SEARLEIND,2005-01-03,2006-12-04,norm-exact,
nse500,Brabourne Enterprises Ltd.,1998-08-01,2008-02-15,INE629A01018,RPGLS,2006-12-05,2008-02-15,norm-exact,
nse500,Burroughs Wellcome (India) Ltd.,1998-08-01,2003-04-01,INE157A01010,,,,isin-only,
nse500,CFL Capital Financial Services Ltd.,1998-08-01,2002-11-11,,,,,unresolved,
nse500,CMC Ltd.,1998-10-07,2015-03-27,INE314A01017,CMC,2005-01-03,2015-03-27,norm-exact,
nse500,CORE Education & Technologies Ltd.,2011-03-25,2014-09-19,INE247G01024,COREPROTEC,2011-03-25,2011-09-06,norm-exact,
nse500,CORE Education & Technologies Ltd.,2011-03-25,2014-09-19,INE247G01024,COREEDUTEC,2011-09-07,2014-09-19,norm-exact,
nse500,Cable Corporation of India Ltd.,1998-08-01,2001-08-31,,,,,unresolved,
nse500,Cabot India Ltd.,1998-08-01,2002-07-09,INE144B01016,,,,isin-only,
nse500,Cadbury India Ltd.,1998-08-01,2002-09-19,INE184A01014,,,,isin-only,
nse500,Cairn India Ltd.,2009-01-12,2016-11-15,INE910H01017,CAIRN,2009-01-12,2016-11-15,norm-exact,
nse500,Capital First Ltd.,2009-03-27,2018-12-28,INE688I01017,FCH,2009-03-27,2012-12-05,norm-exact,
nse500,Capital First Ltd.,2009-03-27,2018-12-28,INE688I01017,CAPF,2012-12-06,2018-12-27,norm-exact,
nse500,Carol Info Services Ltd.,2001-04-25,2012-03-09,INE198A01014,CAROLINFO,2005-01-03,2012-03-09,norm-exact,
nse500,Carrier Aircon Ltd.,1998-08-01,2003-04-01,INE480A01016,,,,isin-only,
nse500,Centak Chemicals Ltd.,1998-08-01,2002-03-29,INE942A01015,,,,isin-only,
