isin,symbol,ex_date,type,factor_or_amount,detail,face_val,series,subject,source
INE429A01013,ALPICFIN,2000-02-16,dividend,1.5,final,10,EQ,Dividend-15%             Purpose Revised,nse-filing
INE826A01010,SKUPOWER,2000-03-01,dividend,0.1,final,10,EQ,Agm/Dividend - 1%        Purpose Modified,nse-filing
INE255B01010,ALBRMORARJ,2000-03-22,dividend,5.0,final,10,EQ,Dividend-50%             Purpose Revised,nse-filing
INE266A01019,SMITHKLPHA,2000-03-29,dividend,3.0,interim,10,EQ,Interim Dividend-30%     Bc Start Date Revised,nse-filing
INE268A01015,STERLITE,2000-04-12,dividend,11.0,interim,10,EQ,Interim Dividend-110%,nse-filing
INE303401017,ZFSTEERING,2000-04-12,dividend,2.5,interim,10,EQ,Interim Dividend-25%     Purpose Revised,nse-filing
INE489A01017,CHICAGPNUM,2000-04-19,dividend,2.0,final,10,EQ,Agm/Int Dividend-20%     Purpose Revised,nse-filing
INE233A01019,GODREJSOP,2000-04-19,dividend,2.7,interim,10,EQ,Interim Dividend-27%,nse-filing
INE162101013,INDIALEASE,2000-04-19,dividend,1.5,interim,10,EQ,Interim Dividend-15%,nse-filing
INE297C01010,SULZER,2000-04-19,dividend,1.8,final,10,EQ,Dividend-18%             Purpose Revised,nse-filing
INE093A01017,APTECH,2000-04-26,bonus,0.5,1:1,10,EQ,Div-30%/Bonus 1:1        Bc Date Revised,nse-filing
INE051C01011,TOLANIBULK,2000-04-26,dividend,0.6,interim,10,EQ,Interim Dividend-6%,nse-filing
INE223B01026,MALCO,2000-05-03,dividend,1.4,interim,2,EQ,Interim Dividend-70%     Bc Dates Revised,nse-filing
INE639B01015,TANFAC,2000-05-10,dividend,1.1,final,10,EQ,Agm/Dividend-11%,nse-filing
INE223C01016,GESTETNER,2000-05-31,dividend,1.0,final,10,EQ,Agm/Dividend 10%         Purpose Revised,nse-filing
INE005A01011,ICICI,2000-06-07,dividend,1.0,final,10,EQ,Dividend-10%,nse-filing
INE046B01013,SIERRAOPT,2000-06-14,dividend,2.0,final,10,EQ,Dividend-20%             Purpose Revised,nse-filing
INE906A01010,AVERY,2000-06-28,dividend,0.75,final,10,EQ,Dividend-7.5%,nse-filing
INE466A01015,BHARATHOT,2000-07-05,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE247A01019,ANDRAVALLY,2000-07-12,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE246A01011,TATAHYDRO,2000-07-12,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE221B01012,DYNAMATECH,2000-07-19,dividend,1.0,final,10,EQ,Agm/Dividend-10%         Purpose Revised,nse-filing
INE277B01014,PUNJABCHEM,2000-07-19,dividend,1.5,final,10,EQ,Agm/Dividend-15%,nse-filing
INE696A01017,UNITEDBREW,2000-08-02,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE059401013,DAICHIKARK,2000-08-09,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE205B01023,ELECON,2000-08-09,dividend,0.18,final,1,EQ,Dividend-18%,nse-filing
INE811A01012,KGKHOSLA,2000-08-09,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE224B01024,BIRLAPOWER,2000-08-16,dividend,0.11,final,1,EQ,Agm/Dividend-11%,nse-filing
INE223A01010,RHONEPOULN,2000-08-16,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE910C01018,TTKPHARMA,2000-08-16,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE146B01011,UNIFLEX,2000-08-16,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE199C01026,ADVANIHOTR,2000-08-23,dividend,0.1,final,2,EQ,Agm/Dividend-5%          Bc End Date Rev/Purpose Revised,nse-filing
INE436A01026,ANSALAPI,2000-08-23,dividend,0.5,final,5,EQ,Agm/Dividend-10%         Purpose Revised/Bc End Date Revised,nse-filing
INE508401010,BANKMADURA,2000-08-23,dividend,1.0,final,10,EQ,Agm/Dividend-10%         Purpose Revised/Bc End Date Revised,nse-filing
INE081801016,FALCONTYRE,2000-08-23,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE826C01016,GUJAPOLLO,2000-08-23,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE887A01012,MCDOWELL,2000-08-23,dividend,2.5,final,10,EQ,Agm/Dividend-25%         Bc Dates Revised,nse-filing
INE455A01018,BALAJIIND,2000-08-30,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE869A01010,SHAWGELTIN,2000-08-30,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE442A01024,ASSAMCO,2000-09-06,dividend,0.1,final,1,EQ,Agm/Dividend-10%         Purpose Revised,nse-filing
INE071A01013,BINANIZINC,2000-09-06,dividend,3.0,final,10,EQ,Agm/Dividend-30%,nse-filing
INE743A01017,ROOFITIND,2000-09-13,dividend,1.0,final,10,EQ,Dividend-10%             Purpose Revised,nse-filing
INE368A01013,SILVERLINE,2000-09-13,dividend,1.75,final,10,EQ,Agm/Dividend-17.5%       Purpose Revised,nse-filing
INE687A01016,TRANSPEK,2000-09-13,dividend,0.8,final,10,EQ,Dividend-8%,nse-filing
INE268A01023,STERLITIND,2000-09-27,demerger,,,5,EQ,Capital Red./Demerger,nse-filing
INE326A01011,LUPINCHEM,2000-10-11,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE244401019,PORRITSPEN,2000-11-01,dividend,3.3,final,10,EQ,Agm/Dividend-33%         Purpose Revisesd,nse-filing
INE744A01015,SUNEARTH,2000-11-22,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE450401018,FAZETHREE,2000-11-29,dividend,2.0,final,10,EQ,Agm/Dividend-20%         Purpose Revised,nse-filing
INE626B01012,SHAMKNSPIN,2000-11-29,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE730A01014,ORIENTCONT,2000-12-06,dividend,1.5,final,10,EQ,Agm/Dividend-15%         Purpose Revised,nse-filing
INE218A01010,SHREEKRPOL,2000-12-06,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE143B01018,HITECHIJEW,2000-12-13,dividend,0.5,final,10,EQ,Agm/Dividend-5%          Purpose Revised,nse-filing
INE144B01016,CABOTINDIA,2001-01-03,dividend,3.0,final,10,EQ,Agm/Dividend-30%,nse-filing
INE826A01010,SKUPOWER,2001-01-31,dividend,0.1,final,10,EQ,Agm/Dividend-1%,nse-filing
INE536A01015,GRINWELNOR,2001-02-07,dividend,3.0,final,10,EQ,Agm/Dividend-30%         Purpose Revised,nse-filing
INE255B01010,ALBRMORARJ,2001-02-21,dividend,1.0,final,10,EQ,Agm/Dividend-10%         Purpose Revised,nse-filing
INE266A01019,SMITHKLPHA,2001-02-28,dividend,4.0,final,10,EQ,Agm/Dividend-40%,nse-filing
INE300A01016,GOODRICKE,2001-03-14,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE223C01016,GESTETNER,2001-03-21,dividend,1.0,final,10,EQ,Agm/Dividend-10%         Purpose Revised,nse-filing
INE381B01014,RADICOKHAI,2001-04-18,dividend,1.4,final,10,EQ,Agm/Dividend-14%,nse-filing
INE014A01013,RELPETRO,2001-04-25,dividend,0.5,final,10,EQ,Agm/Dividend-5%          Purpose Revised,nse-filing
INE445A01019,ATLASCOPCO,2001-05-09,dividend,3.75,final,10,EQ,Agm/Dividend-37.5%       Purpose Revised/Bc Dates Revised,nse-filing
INE172A01019,CASTROL,2001-05-09,dividend,5.0,final,10,EQ,Agm/Dividend-50%,nse-filing
INE093A01017,APTECH,2001-05-16,dividend,3.0,final,10,EQ,Agm/Dividend-30%         Purpose Revised,nse-filing
INE184A01014,CADBURY,2001-05-16,dividend,5.0,final,10,EQ,Agm/Dividend-50%,nse-filing
INE527A01014,INVELTRANS,2001-05-16,dividend,1.0,final,10,EQ,Agm/Dividend- 10%,nse-filing
INE639B01015,TANFAC,2001-05-16,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE380A01018,TVSELEC,2001-05-16,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE005A01011,ICICI,2001-05-23,dividend,5.5,final,10,EQ,Dividend-55%             Purpose Revised,nse-filing
INE276B01016,PUNANDLAMP,2001-05-23,dividend,1.25,final,10,EQ,Agm/Dividend-12.5%,nse-filing
INE297C01010,SULZER,2001-05-30,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE895C01011,TATAYODOGA,2001-05-30,dividend,3.25,final,10,EQ,Agm/Dividend-32.5%       Purpose Revised,nse-filing
INE223A01010,RHONEPOULN,2001-06-13,dividend,27.0,final,10,EQ,Agm/Dividend-270%        Bc Dates Changed/Bc End Date Changed,nse-filing
INE795A01017,LAKHNNATNL,2001-06-20,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE368A01013,SILVERLINE,2001-06-20,dividend,1.25,final,10,EQ,Agm/Dividend-12.5%,nse-filing
INE204B01018,VANADYCHEM,2001-06-20,dividend,4.0,final,10,EQ,Dividend-40%,nse-filing
INE908A01016,CIBASPEC,2001-07-02,dividend,6.0,final,10,EQ,Agm/Dividend-60%,nse-filing
INE518A01013,FORBESGOK,2001-07-02,dividend,3.0,final,10,EQ,Dividend-30%,nse-filing
INE535A01017,GRAPHIT,2001-07-02,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE267A01017,HINDZINC,2001-07-02,dividend,0.25,final,2,EQ,Agm/Dividend-12.5%       Purpose Revised,nse-filing
INE022A01016,INDOGULF,2001-07-02,dividend,2.4,final,10,EQ,Agm/Dividend-24%         Purpose Revised,nse-filing
INE794A01010,NEULANDLAB,2001-07-02,dividend,1.5,final,10,EQ,Dividend-15%             Purpose Revised,nse-filing
INE051C01011,TOLANIBULK,2001-07-02,dividend,0.8,final,10,EQ,Agm/Dividend-8%,nse-filing
INE274C01019,WENDT,2001-07-02,dividend,10.0,final,10,EQ,Agm/Dividend-100%        Book Closure Date Revised,nse-filing
INE213C01025,BANCOINDIA,2001-07-04,dividend,0.6,final,2,EQ,Agm/Dividend-30%,nse-filing
INE795B01015,CITURGIBIO,2001-07-05,dividend,1.5,final,10,EQ,Agm/Dividend-15%         Purpose Revised,nse-filing
INE194A01013,TATAUNISYS,2001-07-09,dividend,6.0,final,10,EQ,Agm/Dividend-60%,nse-filing
INE256C01016,TEIL,2001-07-09,dividend,1.5,final,10,EQ,Agm/Dividend-15%,nse-filing
INE712A01012,WARRENTEA,2001-07-12,dividend,4.0,final,10,EQ,Agm/Dividend-40%,nse-filing
INE417A01018,ASSAMFRONT,2001-07-13,dividend,5.0,final,10,EQ,Agm/Dividend-50%,nse-filing
INE583C01013,DECCANCE,2001-07-13,dividend,1.25,final,5,EQ,Agm/Dividend-25%,nse-filing
INE288B01011,DEEPAKNITR,2001-07-16,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE227C01017,MMFL,2001-07-16,dividend,4.0,final,10,EQ,Agm/Dividend-40%,nse-filing
INE573A01018,JKIND,2001-07-20,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE421C01016,TVSSRICHAK,2001-07-20,dividend,3.5,final,10,EQ,Agm/Dividend-35%         Purpose Revised,nse-filing
INE502A01017,NIPPONDENS,2001-07-25,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE254A01015,PARKEDAVIS,2001-07-27,dividend,10.0,final,10,EQ,Agm/Dividend-100%,nse-filing
INE076B01010,SIYSIL,2001-07-30,dividend,0.7,final,2,EQ,Agm/Dividend-35%,nse-filing
INE046B01013,SIERRAOPT,2001-08-01,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE283A01014,PRECOT,2001-08-06,dividend,3.0,final,10,EQ,Agm/Dividend-30%         Purpose Revised,nse-filing
INE890A01016,JMCPROJECT,2001-08-07,dividend,0.4,final,2,EQ,Agm/Dividend-20%,nse-filing
INE554A01018,HINPOWPLUS,2001-08-08,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE732B01018,METROCHEM,2001-08-08,dividend,0.5,final,10,EQ,Dividend-5%,nse-filing
INE276A01018,GARFIBRES,2001-08-20,dividend,2.0,final,10,EQ,Agm/Dividend-20%         Bc End Date Revised/Purpose Revised,nse-filing
INE262B01016,INTLTRAVHS,2001-08-20,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE266B01017,KINETICENG,2001-08-20,dividend,5.0,final,10,EQ,Dividend-50%             Bc End Date Revised,nse-filing
INE696A01017,UNITEDBREW,2001-08-20,dividend,1.5,final,10,EQ,Agm/Dividend-15%         Purpose Revised,nse-filing
INE658A01017,SUASHDIMON,2001-08-21,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE405A01013,ULTRMARINE,2001-08-21,dividend,3.0,final,10,EQ,Agm/Dividend-30%,nse-filing
INE224B01024,BIRLAPOWER,2001-08-24,dividend,0.12,final,1,EQ,Agm/Dividend-12%,nse-filing
INE369A01011,EXCELIND,2001-08-24,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE871A01016,LAKSHAUTO,2001-08-24,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE132B01011,CHETTINAD,2001-08-30,dividend,2.0,final,10,EQ,Dividend-20%,nse-filing
INE826C01016,GUJAPOLLO,2001-08-30,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE240A01014,ITWSIGNODE,2001-08-30,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE071A01013,BINANIZINC,2001-09-03,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE480A01016,CARRIERAIR,2001-09-03,dividend,2.2,final,10,EQ,Dividend-22%,nse-filing
INE277B01014,PUNJABCHEM,2001-09-03,dividend,1.25,final,10,EQ,Agm/Dividend-12.50%,nse-filing
INE442A01024,ASSAMCO,2001-09-04,dividend,0.05,final,1,EQ,Agm/Dividend-5%          Purpose Revised,nse-filing
INE078A01018,EMCOTRANS,2001-09-04,dividend,0.5,final,10,EQ,Dividend-5%,nse-filing
INE812A01010,GULFOIL,2001-09-04,dividend,1.5,final,10,EQ,Agm/Dividend-15%,nse-filing
INE015B01018,WIMPLAST,2001-09-04,dividend,4.0,final,10,EQ,Agm/Dividend-40%,nse-filing
INE483B01018,ICIL,2001-09-05,dividend,0.1,final,2,EQ,Agm/Dividend-5%          Purpose Revised,nse-filing
INE023A01022,JINDLSTRIP,2001-09-05,dividend,4.0,final,10,EQ,Dividend-40%,nse-filing
INE609A01010,PUNJCOMMU,2001-09-05,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE579B01013,ELPROINTL,2001-09-07,dividend,0.2,final,1,EQ,Agm/Dividend-20%         Purpose Revised,nse-filing
INE221B01012,DYNAMATECH,2001-09-11,dividend,1.5,final,10,EQ,Dividend-15%             Purpose Revised,nse-filing
INE742C01015,JINDALDRIL,2001-09-11,dividend,2.0,final,10,EQ,Agm/Dividend-20%         Purpose Revised,nse-filing
INE334A01015,STERTOOLS,2001-09-13,dividend,0.6,final,2,EQ,Agm/Dividend-30%,nse-filing
INF189A01038,MASTERSHAR,2001-09-21,dividend,1.0,final,10,EQ,Dividend-10%             Purpose Revised,nse-filing
INE382A01014,GERMANREM,2001-10-04,dividend,7.0,final,10,EQ,Agm/Dividend-70%,nse-filing
INE223B01026,MALCO,2001-10-08,dividend,1.4,final,2,EQ,Agm/Dividend-70%,nse-filing
INE234A01025,NOVARTIND,2001-10-08,dividend,7.5,final,5,EQ,Dividend-150%,nse-filing
INE743A01017,ROOFITIND,2001-10-11,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE637A01011,SILTAPCHEM,2001-10-12,dividend,6.0,final,10,EQ,Dividend-60%,nse-filing
INE268A01023,STERLITIND,2001-11-05,dividend,5.5,final,5,EQ,Agm/Dividend-110%,nse-filing
INE626B01012,SHAMKNSPIN,2001-11-08,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE730A01014,ORIENTCONT,2001-12-06,dividend,1.0,final,10,EQ,Agm/Dividend-10%         Purpose Revised,nse-filing
INE144B01016,CABOTINDIA,2002-01-01,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE615A01017,RAVALSUGAR,2002-01-14,dividend,50.0,final,50,EQ,Agm/Dividend-100%        Purpose Revised,nse-filing
INE276B01016,PUNANDLAMP,2002-03-06,dividend,1.25,final,10,EQ,Agm/Dividend-12.50%,nse-filing
INE300A01016,GOODRICKE,2002-03-13,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE536A01015,GRINWELNOR,2002-03-13,dividend,3.0,final,10,EQ,Agm/Dividend-30%         Book Closure Dates Revised,nse-filing
INE274A01013,RECKCOLMAN,2002-03-21,dividend,2.5,final,10,EQ,Dividend-25%             Purpose Revised,nse-filing
INE833A01016,KRONECOMM,2002-04-04,dividend,1.5,final,10,EQ,Agm/Dividend-15%,nse-filing
INE624A01019,SANDVIKAS,2002-04-04,dividend,10.0,final,100,EQ,Agm/Dividend-10%,nse-filing
INE358A01014,BOOTSPHARM,2002-04-08,dividend,10.0,final,10,EQ,Agm/Dividend-100%,nse-filing
INE122A01014,MADURACOAT,2002-04-11,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE184A01014,CADBURY,2002-04-15,dividend,6.0,final,10,EQ,Agm/Dividend-60%,nse-filing
INE099A01014,OTIS,2002-04-15,dividend,10.0,final,10,EQ,Dividend-100%,nse-filing
INE254A01015,PARKEDAVIS,2002-04-15,dividend,4.0,final,10,EQ,Agm/Dividend-40%,nse-filing
INE377A01014,INDIAPHOTO,2002-04-18,dividend,6.0,final,10,EQ,Agm/Dividend-60%         Purpose Revised,nse-filing
INE445A01019,ATLASCOPCO,2002-05-09,dividend,4.0,final,10,EQ,Agm/Dividend-40%,nse-filing
INE462A01014,BAYER,2002-05-15,dividend,20.0,final,100,EQ,Dividend-20%,nse-filing
INE249A01015,INDAL,2002-05-23,dividend,4.0,final,10,EQ,Agm/Dividend-40%         Purpose Revised,nse-filing
INE380A01018,TVSELEC,2002-05-24,dividend,0.75,final,10,EQ,Agm/Dividend-7.5%,nse-filing
INE556A01013,AGREVOIND,2002-05-27,dividend,4.0,final,10,EQ,Agm/Dividend-40%,nse-filing
INE157A01010,BURRWELCOM,2002-05-28,dividend,7.5,final,10,EQ,Dividend-75%,nse-filing
INE521A01017,FULFORD,2002-06-12,dividend,1.5,final,10,EQ,Agm/Dividend-15%,nse-filing
INE156A01012,INDORAMSYN,2002-06-12,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE381B01014,RADICOKHAI,2002-06-26,dividend,2.0,final,10,EQ,Agm/Dividend-Rs.2 Per Sh,nse-filing
INE204B01018,VANADYCHEM,2002-07-01,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE234A01025,NOVARTIND,2002-07-02,dividend,7.5,final,5,EQ,Dividend-150%,nse-filing
INE124A01010,DIGITALEQP,2002-07-04,dividend,3.5,final,10,EQ,Agm/Dividend-35%,nse-filing
INE251A01011,ASHKLEYFIN,2002-07-11,dividend,3.0,final,10,EQ,Agm/Dividend-30%,nse-filing
INE262B01016,INTLTRAVHS,2002-07-11,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE794A01010,NEULANDLAB,2002-07-11,dividend,1.8,final,10,EQ,Agm/Dividend-18%,nse-filing
INE417A01018,ASSAMFRONT,2002-07-18,dividend,5.0,final,10,EQ,Agm/Dividend-50%,nse-filing
INE583C01013,DECCANCE,2002-07-18,dividend,1.25,final,5,EQ,Agm/Dividend-25%         Purpose Revised,nse-filing
INE712A01012,WARRENTEA,2002-07-18,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE018A01014,L&T,2002-07-22,dividend,7.0,final,10,EQ,Dividend-70%,nse-filing
INE518A01013,FORBESGOK,2002-07-23,dividend,2.0,final,10,EQ,Dividend-20%,nse-filing
INE022A01016,INDOGULF,2002-07-24,dividend,2.6,final,10,EQ,Dividend-26%             Book Closure End Date Revised,nse-filing
INE256C01016,TEIL,2002-07-29,dividend,2.2,final,10,EQ,Agm/Dividend-22%,nse-filing
INE172A01019,CASTROL,2002-07-30,dividend,4.0,interim,10,EQ,Agm/Interim Dividend-40% Book Closure Start Date Revised/Purpose Revised,nse-filing
INE502A01017,NIPPONDENS,2002-08-02,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE554A01018,HINPOWPLUS,2002-08-14,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE267A01017,HINDZINC,2002-08-19,dividend,0.1,final,2,EQ,Agm/Dividend-5%          Purpose Revised,nse-filing
INE421C01016,TVSSRICHAK,2002-08-22,dividend,3.5,final,10,EQ,Agm/Dividend-35%         Purpose Revised,nse-filing
INE130A01017,GLOBLTRUST,2002-08-27,dividend,0.5,final,10,EQ,Agm/Dividend-5%          Purpose Revised,nse-filing
INE023A01022,JINDLSTRIP,2002-08-29,dividend,4.0,final,10,EQ,Dividend-40%,nse-filing
INE037A01014,UNITEDPHOS,2002-09-05,dividend,1.0,final,10,EQ,Dividend-10%,nse-filing
INE276A01018,GARFIBRES,2002-09-09,dividend,2.2,final,10,EQ,Agm/Dividend-22%,nse-filing
INE575A01013,JPIND,2002-09-11,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE266B01017,KINETICENG,2002-09-11,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE382A01014,GERMANREM,2002-09-12,dividend,8.0,final,10,EQ,Agm/Dividend-80%,nse-filing
INE609A01010,PUNJCOMMU,2002-09-12,dividend,1.5,final,10,EQ,Agm/Dividend-15%,nse-filing
INE078A01018,EMCOTRANS,2002-09-13,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE570A01014,IONEXCHANG,2002-09-17,dividend,0.1,final,1,EQ,Agm/Dividend-10%,nse-filing
INE637A01011,SILTAPCHEM,2002-10-08,dividend,6.0,final,10,EQ,Dividend-60%,nse-filing
INF189A01038,MASTERSHAR,2002-10-09,dividend,1.0,final,10,EQ,Dividend-10%             Purpose Revised,nse-filing
INE369A01011,EXCELIND,2002-10-14,dividend,3.0,final,10,EQ,Agm/Dividend-30%         Bc Start Date Revised,nse-filing
INE565B01012,SHAMKNFAB,2002-11-18,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE271A01027,SOUNDCRAFT,2002-12-13,dividend,0.4,final,2,EQ,Agm/Dividend-20%,nse-filing
INE161A01012,NIIT,2003-01-23,dividend,4.0,final,10,EQ,Agm/Dividend-40%         Purpose Revised,nse-filing
INE358A01014,BOOTSPHARM,2003-04-09,dividend,12.0,final,10,EQ,Agm/Dividend - 120%,nse-filing
INE157A01010,BURRWELCOM,2003-04-10,dividend,11.0,final,10,EQ,Dividend -110%,nse-filing
INE377A01014,INDIAPHOTO,2003-04-17,dividend,6.0,final,10,EQ,Agm/Dividend-Rs 6 Per Sh,nse-filing
INE122A01014,MADURACOAT,2003-04-17,dividend,0.5,final,10,EQ,Agm/Dividend-Re 0.50/Shar,nse-filing
INE556A01013,AGREVOIND,2003-05-30,dividend,2.0,final,10,EQ,Agm/Dividend - 20%,nse-filing
INE462A01014,BAYER,2003-05-30,dividend,22.0,final,100,EQ,Agm/Dividend -22%,nse-filing
INE020A01010,JINDALIRON,2003-06-18,dividend,3.0,final,10,EQ,Agm/Dividend-30%,nse-filing
INE124A01010,DIGITALEQP,2003-07-03,dividend,4.5,final,10,EQ,Agm/Dividend-45%,nse-filing
INE099A01014,OTIS,2003-07-08,dividend,12.5,final,10,EQ,Dividend-125%,nse-filing
INE784A01011,E-SERVEINT,2003-07-10,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE251A01011,ASHKLEYFIN,2003-07-14,dividend,5.0,final,10,EQ,Dividend-50%,nse-filing
INE701A01015,VARDHMNSPG,2003-07-14,dividend,3.5,final,10,EQ,Agm/Dividend- 35%,nse-filing
INE156A01012,INDORAMSYN,2003-08-06,dividend,2.25,final,10,EQ,Agm/Dividend-22.50%,nse-filing
INE018A01014,L&T,2003-08-11,dividend,7.5,final,10,EQ,Dividend-75%,nse-filing
INE421B01018,ETCNETWORK,2003-08-14,dividend,2.0,final,10,EQ,Agm/Dividend-20%,nse-filing
INE025A01019,JINDALFOTO,2003-09-12,dividend,1.0,final,10,EQ,Agm/Dividend-10%         Purpose Revised,nse-filing
INE037A01014,UNITEDPHOS,2003-09-17,dividend,2.0,final,10,EQ,Dividend-20%,nse-filing
INE341A01010,VDOCONINTL,2004-03-18,dividend,1.0,final,10,EQ,Dividend-10% / Agm,nse-filing
INE392A01013,VISAKAIND,2004-05-28,dividend,0.5,final,2,EQ,Dividend-25%             Purpose Revised,nse-filing
INE235A01022,FINCABLES,2004-06-07,dividend,0.8,final,2,EQ,Agm/Dividend-40%,nse-filing
INE097A01018,BGFL,2004-06-25,dividend,1.0,final,10,EQ,Agm / Dividend-10%,nse-filing
INE123A01012,COCHINREFN,2004-06-28,dividend,12.0,final,10,EQ,Agm/Dividend-120%,nse-filing
INE379A01010,ITCHOTEL,2004-06-28,dividend,2.0,final,10,EQ,Dividend-20%,nse-filing
INE221A01014,CLARIANT,2004-07-05,dividend,6.0,final,10,EQ,Agm / Dividend-60%       Purpose Revised,nse-filing
INE784A01011,E-SERVEINT,2004-07-08,dividend,5.0,final,10,EQ,Agm/Dividend-50%,nse-filing
INE222A01012,GEORGWILIM,2004-07-19,dividend,4.0,final,10,EQ,Agm / Dividend-40%,nse-filing
INE424A01014,TORRENTAEC,2004-07-20,dividend,2.1,final,10,EQ,Dividend-21%,nse-filing
INE713B01018,SURYCOTMIL,2004-07-21,dividend,2.5,final,10,EQ,Dividend-25%/Agm,nse-filing
INE194A01013,TATAINFOTE,2004-07-21,dividend,10.0,final,10,EQ,Agm/Dividend-100%,nse-filing
INE911F01019,IGFLFERT,2004-07-28,dividend,2.8,final,10,EQ,Dividend-28%,nse-filing
INE165A01013,UNIWESTBNK,2004-07-29,dividend,0.5,final,10,EQ,Agm / Dividend-5%        Purpose Revised,nse-filing
INE701A01015,VARDHMNSPG,2004-08-11,dividend,4.2,final,10,EQ,Agm/Dividend-42%,nse-filing
INE672B01016,MUNJALAUTO,2004-08-12,dividend,3.0,final,10,EQ,Agm/Dividend-30%,nse-filing
INE487A01011,CHAMPDANY,2004-08-13,dividend,2.5,final,10,EQ,Agm/Dividend-25%,nse-filing
INE307A01011,IDBIBANK,2004-08-26,dividend,1.25,final,10,EQ,Agm/Dividend-12.5%,nse-filing
INE401A01012,SHRIRAMINV,2004-08-30,dividend,1.2,final,10,EQ,Agm/Dividend-12%,nse-filing
INE801A01021,FSS,2004-09-08,dividend,2.5,final,5,EQ,Agm /  Dividend -50%,nse-filing
INE054B01017,TORRENTSEC,2004-09-08,dividend,3.3,final,10,EQ,Dividend-33%,nse-filing
INE458A01012,BANKPUNJAB,2004-09-13,dividend,0.5,final,10,EQ,Dividend -5%,nse-filing
INE025A01019,JINDALFOTO,2004-09-14,dividend,1.0,final,10,EQ,Agm/Dividend-10%         Purpose Revised,nse-filing
INE580C01019,ABGHEAVY,2004-09-21,dividend,1.0,final,10,EQ,Agm/Dividend-10%,nse-filing
INE268B01013,KREBSBIO,2004-09-21,dividend,8.0,final,10,EQ,Dividend-80%,nse-filing
