isin,symbol,ex_date,type,factor_or_amount,detail,face_val,series,subject,source
INE073D01013,SUNDRMBRAK,2007-01-29,dividend,5.0,interim,10,EQ,Interim Dividend-50%     Purpose Revised,nse-filing
INE111A01017,CONCOR,2007-01-31,dividend,5.5,interim,5,EQ,Interim Dividend-110%,nse-filing
INE943D01017,MPSLTD,2007-01-31,dividend,3.5,interim,10,EQ,Interim Dividend-35%     Purpose Revised,nse-filing
INE067A01029,CGPOWER,2007-02-01,dividend,0.5,interim,2,EQ,Interim Dividend-25%     Purpose Revised,nse-filing
INE137G01027,DCHL,2007-02-01,dividend,1.0,interim,2,EQ,Interim Dividend-50%,nse-filing
INE371D01029,GEODESIC,2007-02-01,dividend,0.2,interim,2,EQ,Interim Dividend-10%     Purpose Revised,nse-filing
INE007B01023,GEOJITFSL,2007-02-01,dividend,0.4,interim,1,EQ,Interim Dividend-40%     Purpose Revised,nse-filing
INE114A01011,SAIL,2007-02-01,dividend,1.6,interim,10,EQ,Interim Dividend-16%     Purpose Revised,nse-filing
INE733E01010,NTPC,2007-02-02,dividend,2.4,interim,10,EQ,Interim Dividend-24%     Purpose Revised,nse-filing
INE331A01037,RAMCOCEM,2007-02-02,dividend,0.75,interim,1,EQ,2nd Interim Dividend-75% Purpose Revised,nse-filing
INE510A01010,ENGINERSIN,2007-02-05,dividend,1.75,interim,5,EQ,Interim Dividend-35%     Purpose Revised,nse-filing
INE749A01030,JINDALSTEL,2007-02-05,dividend,1.2,interim,1,EQ,Interim Dividend-120%    Purpose Revised,nse-filing
INE395A01016,BSELINFRA,2007-02-06,dividend,2.1,interim,10,EQ,Interim Dividend-21%,nse-filing
INE139A01026,NATIONALUM,2007-02-06,dividend,1.75,interim,5,EQ,Interim Dividend-35%,nse-filing
INE398B01018,UMIYA-MRO,2007-02-06,dividend,1.0,interim,5,EQ,Interim Dividend-20%     Purpose Revised,nse-filing
INE298A01020,CUMMINSIND,2007-02-08,dividend,2.0,interim,2,EQ,Interim Dividend-100%,nse-filing
INE887G01027,GOKEX,2007-02-08,split,0.5,10->5,5,EQ,Fv Split Rs.10/- To Rs.5/,nse-filing
INE224A01018,GREAVESCOT,2007-02-08,dividend,0.4,interim,2,EQ,2nd Interim Dividend-20% Purpose Revised,nse-filing
INE586G01017,GULFPETRO,2007-02-08,dividend,0.25,interim,5,EQ,Interim Dividend-5%      Purpose Revised,nse-filing
INE267A01017,HINDZINC,2007-02-08,dividend,0.5,interim,2,EQ,Interim Dividend-25%,nse-filing
INE229C01013,SAGCEM,2007-02-08,dividend,0.2,interim,2,EQ,Interim Dividend-10%,nse-filing
INE688A01022,TCI,2007-02-08,dividend,0.3,interim,2,EQ,Interim Dividend-15%,nse-filing
,ZEEL,2007-02-12,split,0.7142857142857143,observed:kite-observed,,,,kite-observed
INE258A01016,BEML,2007-02-13,dividend,2.0,interim,5,EQ,Interim Dividend-40%,nse-filing
INE257A01018,BHEL,2007-02-13,dividend,2.5,interim,2,EQ,Interim Dividend-125%,nse-filing
INE294A01011,BILT,2007-02-13,dividend,1.5,interim,10,EQ,Interim Dividend-15%,nse-filing
INE754A01014,SUBEX,2007-02-13,dividend,1.5,interim,10,EQ,Interim Dividend-15%,nse-filing
INE424H01027,SUNTV,2007-02-13,dividend,1.5,interim,5,EQ,Interim Dividend-30%,nse-filing
INE715A01015,WHEELS,2007-02-13,dividend,3.0,interim,10,EQ,Interim Dividend-30%,nse-filing
INE111B01023,63MOONS,2007-02-14,dividend,0.8,interim,2,EQ,3rd Interim Dividend-40%,nse-filing
INE514G01019,CREWBOS,2007-02-14,dividend,0.75,interim,10,EQ,Interim Dividend-7.5%,nse-filing
INE255A01020,EPL,2007-02-14,dividend,2.0,interim,2,EQ,Interim Dividend-100%,nse-filing
INE475B01014,HIKAL,2007-02-14,dividend,0.6,interim,2,EQ,Interim Dividend-30%,nse-filing
INE992B01026,LAKSHMIEFL,2007-02-14,dividend,0.5,interim,2,EQ,Interim Dividend-25%,nse-filing
INE160A01014,PNB,2007-02-14,dividend,0.8,interim,2,EQ,Interim Dividend-40%,nse-filing
INE183H01011,XLENERGY,2007-02-14,dividend,1.0,interim,10,EQ,Interim Dividend-10%,nse-filing
INE153A01019,MTNL,2007-02-19,dividend,3.0,interim,10,EQ,Interim Dividend-30%,nse-filing
INE655A01013,STCINDIA,2007-02-19,dividend,2.0,interim,10,EQ,Interim Dividend-20%,nse-filing
INE399C01030,SUPRAJIT,2007-02-19,dividend,0.2,interim,1,EQ,Interim Dividend-20%,nse-filing
INE867A01022,MANUGRAPH,2007-02-20,dividend,2.0,interim,2,EQ,Interim Dividend-100%,nse-filing
INE079A01024,AMBUJACEM,2007-02-21,dividend,0.8,final,2,EQ,Final Dividend-40%,nse-filing
INE196A01026,MARICO,2007-02-21,split,0.1,10->1,1,EQ,Fv Split Rs.10/- To Re.1/,nse-filing
INE463A01020,BERGEPAINT,2007-02-22,dividend,0.3,interim,1,EQ,Interim Dividend-30%,nse-filing
INE592B01016,TTL,2007-02-27,dividend,0.1,interim,1,EQ,Interim Dividend-10%,nse-filing
INE506A01018,DREDGECORP,2007-02-28,dividend,6.0,interim,10,EQ,Interim Dividend-60%     Purpose Revised,nse-filing
INE041A01016,DHAMPURSUG,2007-03-07,dividend,1.0,final,10,EQ,Agm/Final Dividend-10%,nse-filing
INE141A01014,ORIENTBANK,2007-03-07,dividend,2.0,interim,10,EQ,Interim Dividend-20%,nse-filing
INE964B01025,ALCHEMIST,2007-03-08,bonus,0.5,1:1,1,EQ,Bonus 1:1,nse-filing
INE718H01014,AUTOIND,2007-03-08,dividend,2.5,interim,10,EQ,Interim Dividend-25%,nse-filing
INE366A01033,DWARKESH,2007-03-09,dividend,0.6,final,1,EQ,Agm/Dividend - 60%,nse-filing
INE129A01019,GAIL,2007-03-09,dividend,2.5,interim,10,EQ,Spl Interim Dividend-25% Purpose Revised,nse-filing
INE883A01011,MRF,2007-03-09,dividend,14.0,final,10,EQ,Agm/Final Dividend - 140%,nse-filing
INE180A01020,MFSL,2007-03-12,split,0.2,10->2,2,EQ,Fv Split Rs.10/- To Rs.2/,nse-filing
INE137G01027,DCHL,2007-03-13,split,0.2,10->2,2,EQ,Fv Split Rs.10/- To Rs.2/,nse-filing
INE413D01011,ARIHANT,2007-03-14,dividend,2.0,final,10,EQ,Agm/Final Dividend - 20%,nse-filing
INE306A01021,BAJAJHIND,2007-03-15,dividend,0.6,final,1,EQ,Agm/Dividend-60%,nse-filing
INE284A01012,ESABINDIA,2007-03-15,dividend,5.5,interim,10,EQ,Interim Dividend-55%     Purpose Revised,nse-filing
INE258B01022,FDC,2007-03-15,dividend,1.0,interim,1,EQ,Interim Dividend-100%    Purpose Revised,nse-filing
INE177H01013,GPIL,2007-03-15,dividend,0.1,interim,1,EQ,Interim Dividend-10%,nse-filing
INE047A01013,GRASIM,2007-03-15,dividend,5.5,interim,2,EQ,Interim Dividend-275%    Purpose Revised,nse-filing
INE860A01027,HCLTECH,2007-03-15,bonus,0.5,1:1,2,EQ,Bonus 1:1,nse-filing
INE060A01024,NAVNETEDUL,2007-03-15,dividend,0.8,interim,2,EQ,2nd Interim Dividend-40% Purpose Revised,nse-filing
INE044A01028,SUNPHARMA,2007-03-15,dividend,1.35,interim,1,EQ,Interim Dividend-135%    Purpose Revised,nse-filing
INE352A01017,VALUEIND,2007-03-15,dividend,0.5,final,10,EQ,Agm/Dividend-5%,nse-filing
INE016A01026,DABUR,2007-03-16,dividend,0.75,interim,1,EQ,Interim Dividend-75%     Purpose Revised,nse-filing
INE371A01025,GRAPHITE,2007-03-16,dividend,2.0,interim,2,EQ,Interim Dividend-100%    Purpose Revised,nse-filing
INE049A01027,HIMATSEIDE,2007-03-16,dividend,1.25,interim,5,EQ,2nd Interim Dividend-25% Purpose Revised,nse-filing
INE038A01020,HINDALCO,2007-03-16,dividend,1.7,interim,1,EQ,Interim Dividend-170%    Purpose Revised,nse-filing
INE061A01014,INDIANCARD,2007-03-16,dividend,10.0,interim,10,EQ,Interim Dividend-100%    Purpose Revised,nse-filing
INE069A01017,ABIRLANUVO,2007-03-20,dividend,5.5,interim,10,EQ,Interim Dividend-55%     Purpose Revised,nse-filing
INE055A01016,ABREL,2007-03-20,dividend,3.75,interim,10,EQ,Interim Dividend-37.5%   Purpose Revised,nse-filing
INE436A01026,ANSALAPI,2007-03-20,dividend,0.75,interim,5,EQ,Interim Dividend-15%     Purpose Revised,nse-filing
INE479E01028,CHEMFALKAL,2007-03-20,dividend,5.0,interim,5,EQ,Interim Dividend-100%    Purpose Revised,nse-filing
INE547E01014,IMPAL,2007-03-20,dividend,7.0,interim,10,EQ,Interim Dividend-70%     Purpose Revised,nse-filing
INE531A01016,KANSAINER,2007-03-20,dividend,1.15,interim,1,EQ,Interim Dividend-115%    Purpose Revised,nse-filing
INE805C01010,KCP,2007-03-20,dividend,1.0,interim,1,EQ,Interim Dividend-100%    Purpose Revised,nse-filing
INE191H01014,PVRINOX,2007-03-20,dividend,1.0,interim,10,EQ,Interim Dividend-10%     Purpose Revised,nse-filing
INE660A01013,SUNDARMFIN,2007-03-20,dividend,8.5,interim,10,EQ,Interim Dividend-85%     Purpose Revised,nse-filing
INE073D01013,SUNDRMBRAK,2007-03-20,dividend,5.0,interim,10,EQ,2nd Interim Dividend-50% Purpose Revised,nse-filing
INE424C01010,GINNIFILA,2007-03-21,dividend,0.5,interim,10,EQ,Interim Dividend-5%      Purpose Revised,nse-filing
INE224A01018,GREAVESCOT,2007-03-21,dividend,0.4,interim,2,EQ,3rd Interim Dividend-20% Purpose Revised,nse-filing
INE274B01011,MONSANTO,2007-03-21,dividend,10.0,interim,10,EQ,2nd Interim Dividend-100%Purpose Revised,nse-filing
INE244B01030,PATELENG,2007-03-21,dividend,1.3,interim,1,EQ,Interim Dividend-130%    Purpose Revised,nse-filing
INE229C01013,SAGCEM,2007-03-21,dividend,0.3,interim,2,EQ,2nd Interim Dividend-15% Purpose Revised,nse-filing
INE669C01028,TECHM,2007-03-21,dividend,0.75,interim,5,EQ,Interim Dividend-15%     Purpose Revised,nse-filing
INE628A01036,UPL,2007-03-21,dividend,1.2,interim,2,EQ,Interim Dividend-60%     Purpose Revised,nse-filing
INE423A01024,ADANIENT,2007-03-22,dividend,0.45,interim,1,EQ,Interim Dividend-45%     Purpose Revised,nse-filing
INE434A01013,ANDHRABANK,2007-03-22,dividend,2.0,interim,10,EQ,Interim Dividend-20%     Purpose Revised,nse-filing
INE437A01016,APOLLOHOSP,2007-03-22,dividend,1.5,interim,5,EQ,Interim Dividend-30%     Purpose Revised,nse-filing
INE028A01013,BANKBARODA,2007-03-22,dividend,0.6,interim,2,EQ,Interim Dividend-30%     Purpose Revised,nse-filing
INE952D01018,BILPOWER,2007-03-22,dividend,1.0,interim,10,EQ,Interim Dividend-10%     Purpose Revised,nse-filing
INE348B01021,CENTURYPLY,2007-03-22,dividend,0.25,interim,1,EQ,Interim Dividend-25%     Purpose Revised,nse-filing
INE127B01011,HITECHGEAR,2007-03-22,dividend,1.5,interim,10,EQ,Interim Dividend-15%     Purpose Revised,nse-filing
INE530B01024,IIFL,2007-03-22,dividend,0.6,interim,2,EQ,Interim Dividend-30%     Purpose Revised,nse-filing
INE573A01034,JKTYRE,2007-03-22,dividend,0.5,final,2,EQ,Agm/Dividend-25%,nse-filing
INE799A01019,KLGSYSTEL,2007-03-22,dividend,2.5,interim,10,EQ,Interim Dividend-25%     Purpose Revised,nse-filing
INE269B01029,LMW,2007-03-22,dividend,25.0,interim,10,EQ,2nd Interim Dividend-250%Purpose Revised,nse-filing
INE397H01017,LOKESHMACH,2007-03-22,dividend,1.5,interim,10,EQ,Interim Dividend-15%     Purpose Revised,nse-filing
INE271B01025,MAHSEAMLES,2007-03-22,dividend,2.5,interim,5,EQ,2nd Interim Dividend-50% Purpose Revised,nse-filing
INE056A01014,MICRO,2007-03-22,dividend,4.5,final,10,EQ,Agm/Final Dividend-45%,nse-filing
INE743C01013,MONNETISPA,2007-03-22,dividend,2.5,interim,10,EQ,2nd Interim Dividend-25% Purpose Revised,nse-filing
INE139A01026,NATIONALUM,2007-03-22,dividend,0.75,interim,5,EQ,2nd Interim Dividend-15%,nse-filing
INE290B01025,OCL,2007-03-22,dividend,2.0,interim,2,EQ,Interim Dividend-100%    Purpose Revised,nse-filing
INE209B01025,RICOAUTO,2007-03-22,dividend,0.75,interim,1,EQ,Interim Dividend-75%     Purpose Revised,nse-filing
INE611A01016,RSWM,2007-03-22,dividend,3.0,interim,10,EQ,Interim Dividend-30%     Purpose Revised,nse-filing
INE647A01010,SRF,2007-03-22,dividend,4.0,interim,10,EQ,Interim Dividend-40%     Purpose Revised,nse-filing
INE334A01015,STERTOOLS,2007-03-22,dividend,0.6,interim,2,EQ,Interim Dividend-30%     Purpose Revised,nse-filing
INE757B01015,TRANSWORLD,2007-03-22,dividend,2.2,interim,10,EQ,Interim Dividend-22%     Purpose Revised,nse-filing
INE889A01026,TV-18,2007-03-22,dividend,2.0,interim,5,EQ,Interim Dividend-40%,nse-filing
INE854D01024,UNITDSPR,2007-03-22,dividend,0.3,interim,2,EQ,Interim Dividend-15%     Purpose Revised,nse-filing
INE701A01023,VHL,2007-03-22,dividend,2.0,interim,10,EQ,Interim Dividend-20%     Purpose Revised,nse-filing
INE825A01012,VTL,2007-03-22,dividend,0.8,interim,2,EQ,Interim Dividend-40%     Purpose Revised,nse-filing
