Index Name,Event Date,Scrip Name,Description
Nifty 500,01-08-1998,Morepen Laboratories Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Mukand Ltd.- Old,Inclusion into Index
Nifty 500,01-08-1998,Munjal Showa Ltd.,Inclusion into Index
Nifty 500,01-08-1998,NEPC Agro Foods Ltd.,Inclusion into Index
Nifty 500,01-08-1998,NEPC India Ltd,Inclusion into Index
Nifty 500,01-08-1998,NIIT Ltd.-Sus,Inclusion into Index
Nifty 500,01-08-1998,NOCIL Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Nagarjuna Fertilizers & Chemicals Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Nahar Industrial Enterprises Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Nahar Poly Films Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Nahar Spinning Mills Ltd.,Inclusion into Index
Nifty 500,01-08-1998,National Aluminium Co. Ltd. (Old),Inclusion into Index
Nifty 500,01-08-1998,National Peroxide Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Navneet Education Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Nestle India Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Nirma Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Novartis India Ltd.,Inclusion into Index
Nifty 500,01-08-1998,OTIS Elevator Company (India) Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Oil Country Tubular Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Orchid Chemicals & Pharmaceuticals Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Orient Paper & Industries Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Oriental Bank of Commerce,Inclusion into Index
Nifty 500,01-08-1998,Oriental Hotels Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Orkay Industries Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Oswal Agro Mills Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Oswal Chemicals & Fertilizers Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Oudh Sugar Mills Ltd.,Inclusion into Index
Nifty 500,01-08-1998,PHIL Corporation Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Parekh Platinum Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Parke-Davis (India) Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Patheja Forgings & Auto Parts Manufacturers Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Peacock Industries Ltd.-old,Inclusion into Index
Nifty 500,01-08-1998,Peninsula Land Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Pentamedia Graphics Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Pfizer Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Philips India Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Phillips Carbon Black Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Phoenix International Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Pidilite Industries Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Piramal Enterprises Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Piramal Holdings Ltd.-Delisted,Inclusion into Index
Nifty 500,01-08-1998,Prakash Industries Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Precision Fasteners Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Premier Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Prime Securities Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Procter & Gamble Hygiene & Health Care Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Pudumjee Pulp & Paper Mills Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Punjab Alkalies & Chemicals Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Punjab Chemicals & Crop Protection Ltd.,Inclusion into Index
Nifty 500,01-08-1998,Punjab Tractors Ltd.,Inclusion into Index
